stn_code,monitoring_location,year,type_water_body,state_name,avg_temperature,avg_dissolved,avg_ph,avg_conductivity,avg_bod,avg_nitraten,avg_fecal_coliform,anomaly_zscore,is_anomaly_z,wqi,wqi_category,is_anomaly_iqr
2814,D/S RAJGARH TOWN,2021,Lake,MADHYA PRADESH,20.88,4.92,7.26,176.71,3.62,9.030000000000001,156.5,1.289750827813051,False,2.98,Moderate,False
9975, BARU SAHIB,2011,Reservoir,MADHYA PRADESH,21.2,6.24,7.3,138.3,2.19,5.1,92.0,1.9758584502907448,False,3.43,Excellent,False
9015,U/S CHAILLA,2014,Pond,MADHYA PRADESH,13.98,6.1,7.72,170.76,3.97,7.965,255.0,1.84837268707361,False,3.42,Excellent,False
9520, YASHWANT NAGAR- NEAR SHANI MANDIR,2009,River,MADHYA PRADESH,18.84,6.08,7.04,220.03,3.46,7.475,236.0,1.6318474755337855,False,3.29,Excellent,False
2957, VILLAGE MARYOG,2018,Pond,MADHYA PRADESH,20.24,4.96,7.04,141.16,4.65,9.870000000000001,131.5,1.2553982870638285,False,2.94,Moderate,False
7473, U/S CCI MINES ,2003,Reservoir,MADHYA PRADESH,22.82,6.84,7.08,236.01,3.06,11.06,49.5,1.6706185237598166,False,3.53,Excellent,False
6686,AUN,2017,River,MADHYA PRADESH,16.58,6.38,7.8,185.82,4.7,10.370000000000001,249.0,1.7185738771949652,False,3.52,Excellent,False
9116, SAINJ,2010,River,RAJASTHAN,21.2,5.44,7.63,226.57,3.58,8.835,140.5,1.4720563125797768,False,3.22,Excellent,False
5096, SAINJ,2023,Pond,RAJASTHAN,16.39,6.62,6.92,257.9,4.6,8.235,148.0,1.7806776124194157,False,3.41,Excellent,False
6267,"ION OF INDIA,  BANGRAN BRIDGE",2005,River,RAJASTHAN,24.48,5.45,6.76,198.5,3.96,8.969999999999999,236.0,1.5084721646202512,False,3.04,Excellent,False
2360,ER SUPPLY INTAKE WELL ,2021,Pond,RAJASTHAN,16.48,4.16,7.66,128.96,4.84,8.365,120.0,2.155004566300331,False,2.82,Moderate,False
8607," AGASOD,  BINA",2002,River,RAJASTHAN,23.67,6.68,6.82,240.22,2.78,8.85,54.5,1.5932056349412669,False,3.44,Excellent,False
7053, M/S J.P. THERMAL POWER,2018,Reservoir,MADHYA PRADESH,25.85,5.61,7.53,136.32,3.5,6.1,163.5,1.9496574879857287,False,3.25,Excellent,False
5392," CHARANTIRGH, VIDISHA",2016,Pond,ANDHRA PRADESH,22.86,5.62,7.1,184.24,4.36,9.620000000000001,66.5,1.4074147017767473,False,3.15,Excellent,False
8291, VIDISHA,2018,Lake,ANDHRA PRADESH,22.4,6.16,7.33,154.93,2.94,4.4,238.0,1.4208899686639098,False,3.38,Excellent,False
3615, U/S NEAR ROAD BRIDGE ORCHHA,2017,River,ANDHRA PRADESH,18.52,6.56,7.6,138.36,4.03,4.3,179.5,1.4663736847060291,False,3.54,Excellent,False
4946, KANJIA ROAD BRIDGE,2002,Reservoir,ANDHRA PRADESH,18.34,6.49,7.04,152.52,2.97,5.585,146.0,1.3466920140441905,False,3.42,Excellent,False
3658, ANICUT OF M/S CFCL GADEPAN,2001,Reservoir,ANDHRA PRADESH,16.63,6.83,7.32,154.84,4.44,3.315,122.5,1.9143882877209037,False,3.56,Excellent,False
1862, BAROD ROAD BRIDGE,2020,Lake,ANDHRA PRADESH,18.69,6.48,7.79,131.84,4.36,9.04,76.5,1.687883345318051,False,3.55,Excellent,False
5812, TONK,2017,Reservoir,ANDHRA PRADESH,16.0,5.34,6.81,133.26,2.57,4.845,119.0,1.5019875611721518,False,3.04,Excellent,False
4946,JAIPUR,2004,Lake,ANDHRA PRADESH,21.44,4.47,7.67,131.6,3.38,10.610000000000001,60.5,1.8031347126488375,False,2.94,Moderate,False
8239," GANDHI SAGAR DAM, CHITTORGARH",2005,River,ANDHRA PRADESH,21.1,7.84,7.36,203.56,3.08,10.255,169.0,2.07897039403076,False,3.89,Excellent,False
5099, TAL VILLAGE NEAR BRIDGE,2009,Reservoir,ANDHRA PRADESH,19.5,5.03,6.9,170.56,4.88,10.03,175.5,1.3848837764845399,False,2.93,Moderate,False
4202, RANASTHALAM (M),2007,Lake,ANDHRA PRADESH,23.16,7.66,6.96,194.1,2.91,4.12,177.5,1.8770778550503948,False,3.76,Excellent,False
8550, PUSAPATIREGA (M),2017,River,ANDHRA PRADESH,20.85,5.13,6.65,139.73,2.89,7.9350000000000005,256.0,1.8108372886499284,False,2.94,Moderate,False
5189,VISAKHAPATNAM,2006,Reservoir,GOA,23.04,6.48,7.48,252.98,5.18,10.035,97.0,1.7527572298792369,False,3.48,Excellent,False
4983,KAKINADA,2005,River,GOA,23.12,7.0,6.66,221.01,3.07,6.335,200.0,1.7954920227114728,False,3.5,Excellent,False
2905, TIUNIKAKINADA,2016,River,GOA,15.53,4.36,7.62,187.1,3.86,8.055,43.0,1.9300385942936389,False,2.89,Moderate,False
1132, KAKINADA,2002,Reservoir,GOA,13.22,6.02,7.67,162.9,3.39,6.7,247.0,2.089745816885883,False,3.4,Excellent,False
4819, NARSAPUR (M),2013,Lake,ANDHRA PRADESH,25.84,4.76,7.32,233.57,3.6,5.57,245.5,1.946460492888878,False,2.95,Moderate,False
6431,MACHILIPATNAM (V & M),2014,Reservoir,ANDHRA PRADESH,20.12,5.9,6.52,183.62,4.37,10.764999999999999,90.0,2.1944689371113304,False,3.12,Excellent,False
8634, NIZAMPATNAM (V & M),2024,Lake,ANDHRA PRADESH,20.48,7.22,7.76,195.62,3.12,7.42,163.5,1.6668845208798861,False,3.78,Excellent,False
1784," BIT MESRA, RANCHI",2011,Reservoir,ANDHRA PRADESH,16.26,5.86,7.6,190.5,3.14,6.445,109.5,1.4279159814271345,False,3.34,Excellent,False
4475, KANKE DAM,2000,River,ANDHRA PRADESH,20.7,5.72,7.13,246.16,2.83,8.47,111.5,1.6206535172191066,False,3.21,Excellent,False
3155, MASANJORE DAM,2008,Pond,DELHI,17.2,4.94,7.38,155.05,4.39,6.955,184.5,1.2551406782735595,False,3.01,Excellent,False
4366, BOKARO,2020,Pond,DELHI,18.03,5.0,7.84,221.32,2.8,6.275,54.5,1.8566812706410696,False,3.14,Excellent,False
4292, TENUGH DAM,2015,Reservoir,GOA,23.38,4.72,7.48,187.25,3.33,8.27,220.5,1.520485158076326,False,2.97,Moderate,False
4017, NEAR TELMUCHO BRIDGE,2019,River,GOA,24.14,7.74,7.3,157.45,3.86,8.71,191.5,1.9693715871557047,False,3.83,Excellent,False
8286, ZARANGDIH BRIDGE,2009,Reservoir,GOA,17.25,4.92,7.26,158.86,4.34,6.605,239.5,1.2839824695564692,False,2.98,Moderate,False
3485," BOLBA, JHARKHAND",2000,Reservoir,GUJARAT,21.47,6.28,7.06,230.44,3.98,11.11,61.5,1.6310673777622897,False,3.35,Excellent,False
9058, MAITHAN DAM,2000,Pond,ASSAM,19.37,6.09,7.14,165.44,5.44,7.699999999999999,134.5,2.0769846803288012,False,3.29,Excellent,False
1357, BOKARO,2018,Reservoir,ASSAM,13.02,5.92,6.57,152.83,3.05,4.98,215.5,2.1520872212744826,False,3.16,Excellent,False
7044," NK AREA,  PO-DAKRA",2010,River,ASSAM,16.45,6.42,7.4,189.62,4.33,5.5649999999999995,157.5,1.055517903054489,False,3.45,Excellent,False
7439,NEAR TELMUCHO BRIDGE,2014,Lake,ASSAM,24.83,7.41,7.24,117.69,4.66,7.915,48.5,1.8656040342276345,False,3.72,Excellent,False
4744, TIUNI,2011,Lake,ASSAM,24.14,5.11,7.48,242.72,5.08,9.88,69.0,1.634289507599589,False,3.07,Excellent,False
4098, HARIPUR (U.K.),2023,Lake,ASSAM,21.99,4.84,7.9,206.01,2.82,7.47,84.5,2.040824461902544,False,3.1,Excellent,False
7651,D/S RAJGARH TOWN,2008,Lake,ASSAM,15.66,5.07,6.56,232.91,5.2,5.0649999999999995,71.0,2.1023973414805956,False,2.87,Moderate,False
4449, BARU SAHIB,2012,Pond,ASSAM,16.01,6.06,7.06,227.31,2.74,5.345,182.0,1.2837575464464837,False,3.3,Excellent,False
4815,U/S CHAILLA,2009,River,ASSAM,21.1,5.48,7.69,167.8,4.26,11.83,67.5,1.9585501332655484,False,3.23,Excellent,False
6391, YASHWANT NAGAR- NEAR SHANI MANDIR,2008,Pond,ASSAM,16.83,6.43,7.48,172.96,3.93,7.82,67.0,1.3996734128948922,False,3.48,Excellent,False
4199, VILLAGE MARYOG,2006,Lake,ASSAM,19.44,6.36,7.19,224.42,3.18,7.8,91.0,1.028091546565853,False,3.41,Excellent,False
9724, U/S CCI MINES ,2008,River,ASSAM,22.96,6.61,7.58,179.76,5.0,6.57,109.5,1.7125341023719483,False,3.54,Excellent,False
7940,AUN,2012,Reservoir,ASSAM,14.77,5.36,6.9,195.48,2.48,6.0600000000000005,53.0,1.6164295015868317,False,3.07,Excellent,False
1236, SAINJ,2000,River,ASSAM,22.34,5.36,7.14,131.67,4.69,7.27,146.0,1.6446624103845524,False,3.08,Excellent,False
5707, SAINJ,2016,Pond,ASSAM,20.7,5.18,7.32,174.8,3.5,6.1,51.5,1.6396533682323966,False,3.08,Excellent,False
8384,"ION OF INDIA,  BANGRAN BRIDGE",2019,Lake,ASSAM,22.77,5.66,7.06,179.72,2.28,3.845,113.5,1.8573907280110962,False,3.2,Excellent,False
9944,ER SUPPLY INTAKE WELL ,2003,Pond,ASSAM,24.02,5.01,7.38,254.76,4.94,7.035,76.0,1.7995490920993789,False,3.02,Excellent,False
8791," AGASOD,  BINA",2018,River,ASSAM,24.72,6.56,6.62,245.95,4.6,8.415000000000001,228.0,1.88756361834221,False,3.34,Excellent,False
2886, M/S J.P. THERMAL POWER,2021,Reservoir,ASSAM,20.56,5.81,7.67,192.22,2.22,6.805,145.5,1.9446827339013637,False,3.37,Excellent,False
5943," CHARANTIRGH, VIDISHA",2017,Lake,ASSAM,18.18,6.74,7.23,209.86,4.1,8.835,77.0,1.2448476352577926,False,3.52,Excellent,False
4065, VIDISHA,2022,Lake,ASSAM,14.68,6.48,7.6,134.42,4.12,11.510000000000002,113.0,1.8130022419307676,False,3.51,Excellent,False
3093, U/S NEAR ROAD BRIDGE ORCHHA,2004,Lake,ASSAM,19.28,5.83,7.72,175.74,4.06,8.18,103.0,1.4730496221796707,False,3.35,Excellent,False
3295, KANJIA ROAD BRIDGE,2019,River,ASSAM,19.77,4.76,6.98,132.13,2.96,11.065,206.0,1.610599705543336,False,2.89,Moderate,False
7375, ANICUT OF M/S CFCL GADEPAN,2005,Reservoir,ASSAM,21.0,5.34,7.05,173.51,3.68,4.6000000000000005,246.0,1.3717080068091914,False,3.07,Excellent,False
4217, BAROD ROAD BRIDGE,2024,Reservoir,ASSAM,13.61,7.26,7.64,207.62,2.8,10.4,158.0,1.9650630081086817,False,3.78,Excellent,False
9942, TONK,2010,Lake,ASSAM,15.5,7.3,7.56,153.86,4.58,6.765,186.0,1.7987580467382205,False,3.75,Excellent,False
1119,JAIPUR,2022,Pond,ASSAM,18.34,4.54,7.38,185.95,3.66,6.335000000000001,97.0,1.7166093388001091,False,2.9,Moderate,False
4358," GANDHI SAGAR DAM, CHITTORGARH",2008,Lake,ASSAM,22.61,5.46,7.28,160.99,2.56,8.040000000000001,209.0,1.5206929910057803,False,3.17,Excellent,False
6288, TAL VILLAGE NEAR BRIDGE,2005,River,ASSAM,14.68,5.1,7.69,198.05,4.27,4.1850000000000005,135.5,1.6245830302940194,False,3.12,Excellent,False
1175, RANASTHALAM (M),2016,Reservoir,ASSAM,16.63,5.34,7.4,147.47,3.04,4.41,225.0,1.6687892938998854,False,3.15,Excellent,False
3241, PUSAPATIREGA (M),2017,Pond,ASSAM,24.54,5.68,7.7,181.1,4.09,7.744999999999999,182.5,1.5276541352013586,False,3.3,Excellent,False
6623,VISAKHAPATNAM,2014,River,ASSAM,21.73,6.48,6.8,223.54,3.19,10.495000000000001,158.5,1.3513425241032573,False,3.37,Excellent,False
9796,KAKINADA,2014,Reservoir,ASSAM,15.14,4.49,6.74,115.51,4.74,8.205,43.5,1.922294787639827,False,2.74,Moderate,False
2219, TIUNIKAKINADA,2008,Lake,ASSAM,20.01,6.62,7.11,227.12,4.76,5.585,184.0,1.2558636153751697,False,3.45,Excellent,False
9035, KAKINADA,2008,River,ASSAM,20.72,4.82,7.92,180.28,4.9,5.09,257.5,2.0868602597179113,False,3.07,Excellent,False
2218, NARSAPUR (M),2021,River,ASSAM,19.14,5.41,7.1,258.0,2.7,9.395,160.5,1.783278105695205,False,3.12,Excellent,False
6000,MACHILIPATNAM (V & M),2011,Pond,ASSAM,18.03,4.9,7.54,246.56,5.39,6.6450000000000005,133.5,2.0146332475500395,False,3.02,Excellent,False
2926, NIZAMPATNAM (V & M),2021,Lake,ASSAM,16.79,5.48,7.18,208.86,5.06,8.1,97.5,1.5968786479323314,False,3.12,Excellent,False
1668," BIT MESRA, RANCHI",2022,River,ASSAM,21.61,6.11,7.43,138.3,3.72,6.675000000000001,254.5,1.503309917800726,False,3.37,Excellent,False
3960, KANKE DAM,2023,Reservoir,ASSAM,15.07,5.22,7.46,198.7,4.16,5.6499999999999995,124.5,1.529903769292428,False,3.11,Excellent,False
3230, MASANJORE DAM,2020,Pond,ASSAM,21.61,6.91,6.6,238.57,3.58,10.825,169.5,1.9796352139729443,False,3.45,Excellent,False
4938, BOKARO,2019,Reservoir,ASSAM,20.72,6.52,7.4,168.66,3.79,5.37,67.5,1.3919321240130373,False,3.49,Excellent,False
7480, TENUGH DAM,2005,Pond,ASSAM,19.76,5.1,7.3,198.82,3.17,8.165,181.5,1.0763215723195212,False,3.05,Excellent,False
5238, NEAR TELMUCHO BRIDGE,2012,Pond,ASSAM,17.4,6.4,7.46,207.96,4.87,8.405000000000001,209.0,1.3661783466509114,False,3.46,Excellent,False
3704, ZARANGDIH BRIDGE,2004,Reservoir,ASSAM,15.52,5.54,7.66,219.8,4.08,8.015,256.5,1.534275073328146,False,3.24,Excellent,False
9772," BOLBA, JHARKHAND",2009,Lake,ASSAM,22.3,5.58,6.9,151.51,3.54,7.66,142.0,1.7315191910397514,False,3.11,Excellent,False
3643, MAITHAN DAM,2005,Pond,ANDHRA PRADESH,17.76,6.52,7.29,128.18,5.2,9.754999999999999,93.5,1.7839329462686184,False,3.46,Excellent,False
2638, BOKARO,2011,Pond,ANDHRA PRADESH,18.57,5.83,7.54,137.52,4.48,8.745,184.5,1.3499262176387463,False,3.3,Excellent,False
5908," NK AREA,  PO-DAKRA",2018,River,ANDHRA PRADESH,15.96,7.6,7.05,160.32,3.96,9.934999999999999,211.5,1.8078575559714118,False,3.74,Excellent,False
5217,NEAR TELMUCHO BRIDGE,2018,Lake,ANDHRA PRADESH,19.73,5.14,7.18,191.68,4.94,5.444999999999999,86.5,1.4597054958190552,False,3.02,Excellent,False
7495, TIUNI,2009,Reservoir,ANDHRA PRADESH,22.58,5.25,6.93,143.72,4.2,11.485000000000001,57.0,1.8016313129202377,False,3.01,Excellent,False
3717, HARIPUR (U.K.),2002,Lake,ANDHRA PRADESH,23.4,5.94,6.94,158.71,2.86,8.965,141.5,1.3466920140441905,False,3.24,Excellent,False
5389,D/S RAJGARH TOWN,2012,Lake,ANDHRA PRADESH,13.49,6.71,6.8,182.82,4.84,10.489999999999998,264.5,2.003426949270898,False,3.41,Excellent,False
2222, BARU SAHIB,2012,Reservoir,ANDHRA PRADESH,20.88,6.37,7.59,222.6,4.76,9.06,52.0,1.6319120793505417,False,3.47,Excellent,False
9057,U/S CHAILLA,2007,Pond,ANDHRA PRADESH,20.18,5.52,7.26,204.11,3.8,5.28,61.0,1.492568879477152,False,3.16,Excellent,False
4761, YASHWANT NAGAR- NEAR SHANI MANDIR,2016,Pond,ANDHRA PRADESH,15.39,6.28,7.18,200.89,2.36,9.735,52.0,1.757628435565077,False,3.41,Excellent,False
2523, VILLAGE MARYOG,2018,River,ANDHRA PRADESH,22.52,6.64,6.96,224.12,3.94,6.635000000000001,187.0,1.135624720479084,False,3.44,Excellent,False
8807, U/S CCI MINES ,2008,Reservoir,ANDHRA PRADESH,26.13,6.32,7.29,234.66,3.18,11.56,147.0,2.03757485314914,False,3.42,Excellent,False
4579,AUN,2011,Reservoir,GOA,26.22,7.28,7.27,212.1,4.92,3.6950000000000003,232.0,2.0663478090208014,False,3.68,Excellent,False
4917, SAINJ,2009,Reservoir,GOA,19.3,6.22,7.78,121.56,2.78,6.765000000000001,102.5,1.765094969118403,False,3.5,Excellent,False
8990, SAINJ,2024,River,GOA,20.94,7.63,6.68,249.14,3.54,7.225,156.0,1.8424677055109033,False,3.68,Excellent,False
2353,"ION OF INDIA,  BANGRAN BRIDGE",2010,Reservoir,GOA,20.84,7.65,7.19,212.31,3.2,6.525,56.5,1.8655411385372302,False,3.8,Excellent,False
5156,ER SUPPLY INTAKE WELL ,2014,River,GOA,13.76,6.68,7.6,234.77,2.8,9.905000000000001,44.0,1.915509584107487,False,3.6,Excellent,False
5853," AGASOD,  BINA",2022,Lake,GOA,14.68,6.14,6.96,218.94,4.3,5.24,89.0,1.6213860351971683,False,3.28,Excellent,False
4962, M/S J.P. THERMAL POWER,2024,Reservoir,ANDHRA PRADESH,24.36,6.96,7.38,192.43,5.0,8.32,263.0,1.6668845208798861,False,3.6,Excellent,False
9865," CHARANTIRGH, VIDISHA",2001,Pond,ANDHRA PRADESH,19.65,5.68,7.28,219.18,4.06,10.81,179.5,1.7683028003336196,False,3.21,Excellent,False
4033, VIDISHA,2016,Reservoir,ANDHRA PRADESH,21.94,7.06,6.56,231.48,2.66,8.195,247.0,2.0717068096036844,False,3.51,Excellent,False
4936, U/S NEAR ROAD BRIDGE ORCHHA,2004,Lake,ANDHRA PRADESH,17.54,7.28,7.14,117.34,4.86,10.190000000000001,61.5,1.8745757360291053,False,3.65,Excellent,False
2068, KANJIA ROAD BRIDGE,2001,Reservoir,ANDHRA PRADESH,18.84,5.74,7.48,168.3,2.68,9.245,205.0,1.4836727656316486,False,3.3,Excellent,False
7461, ANICUT OF M/S CFCL GADEPAN,2021,River,ANDHRA PRADESH,21.79,4.26,7.44,149.5,3.16,8.945,197.0,2.0511741176818576,False,2.83,Moderate,False
8541, BAROD ROAD BRIDGE,2023,Pond,DELHI,17.52,5.3,7.48,254.75,3.01,5.359999999999999,210.5,1.6986320495682847,False,3.15,Excellent,False
1459, TONK,2007,Lake,GOA,19.48,6.37,7.64,269.86,2.48,11.01,110.0,2.0914365588761603,False,3.52,Excellent,False
4434,JAIPUR,2000,Pond,GOA,17.08,6.17,6.8,134.16,3.84,9.235,197.5,1.6206535172191066,False,3.26,Excellent,False
6599," GANDHI SAGAR DAM, CHITTORGARH",2005,Lake,GOA,17.6,5.79,6.86,176.08,2.96,9.64,148.0,1.150990853296318,False,3.18,Excellent,False
6054, TAL VILLAGE NEAR BRIDGE,2018,Reservoir,GUJARAT,23.65,6.18,7.6,195.94,3.9,11.485,127.0,1.8016313129202368,False,3.43,Excellent,False
5959, RANASTHALAM (M),2021,River,GUJARAT,21.22,6.18,6.93,200.01,4.08,6.199999999999999,152.5,1.2559422661175121,False,3.29,Excellent,False
6131, PUSAPATIREGA (M),2013,Reservoir,GUJARAT,17.2,6.44,7.03,189.79,4.69,5.955,211.0,1.1417131886473677,False,3.38,Excellent,False
8979,VISAKHAPATNAM,2002,River,HIMACHAL PRADESH,18.55,5.4,7.08,169.74,3.46,9.825,146.0,1.4178697053404223,False,3.1,Excellent,False
4117,KAKINADA,2011,Lake,HIMACHAL PRADESH,23.57,6.35,7.88,158.82,3.32,4.404999999999999,252.0,1.9640981322102653,False,3.54,Excellent,False
6778, TIUNIKAKINADA,2020,Pond,HIMACHAL PRADESH,18.77,6.62,7.18,223.88,4.56,7.654999999999999,179.5,1.118961514530054,False,3.47,Excellent,False
6416, KAKINADA,2014,Lake,HIMACHAL PRADESH,22.32,6.19,7.53,120.52,4.39,4.39,104.5,1.7918800498590266,False,3.41,Excellent,False
4014, NARSAPUR (M),2009,River,HIMACHAL PRADESH,18.44,6.65,7.3,168.84,2.7,6.995,153.0,1.3336386926694936,False,3.53,Excellent,False
9472,MACHILIPATNAM (V & M),2005,Reservoir,HIMACHAL PRADESH,22.13,7.21,6.84,192.08,3.87,6.94,144.5,1.6128623868659826,False,3.58,Excellent,False
6563, NIZAMPATNAM (V & M),2017,River,HIMACHAL PRADESH,18.18,5.62,7.56,147.52,3.25,8.205,147.0,1.0898768900598816,False,3.26,Excellent,False
2620," BIT MESRA, RANCHI",2000,Lake,HIMACHAL PRADESH,21.21,5.86,6.85,240.94,4.93,9.635,272.5,1.7819963175475055,False,3.17,Excellent,False
9560, KANKE DAM,2001,Lake,HIMACHAL PRADESH,19.97,5.28,7.35,133.99,3.59,4.255,253.5,1.6476683827569547,False,3.11,Excellent,False
5780, MASANJORE DAM,2016,Lake,HIMACHAL PRADESH,16.52,5.12,7.6,217.78,3.66,3.415,253.5,1.8689045716787842,False,3.11,Excellent,False
7747, BOKARO,2018,Pond,HIMACHAL PRADESH,19.63,7.46,7.28,213.74,4.53,7.49,81.0,1.646343524787121,False,3.74,Excellent,False
4738, TENUGH DAM,2017,Pond,PUNJAB,16.5,5.68,7.26,190.34,4.16,5.680000000000001,132.0,1.0395329275702323,False,3.21,Excellent,False
4208, NEAR TELMUCHO BRIDGE,2019,Pond,PUNJAB,23.42,6.97,7.2,187.44,3.5,7.51,205.0,1.172787679450865,False,3.59,Excellent,False
1918, ZARANGDIH BRIDGE,2006,Reservoir,ANDHRA PRADESH,19.84,5.79,6.95,129.83,3.35,9.26,235.5,1.5499041505468925,False,3.19,Excellent,False
6291," BOLBA, JHARKHAND",2013,Lake,ANDHRA PRADESH,15.44,5.8,7.56,179.92,4.53,7.485,180.5,1.3784144078364693,False,3.3,Excellent,False
1186, MAITHAN DAM,2004,River,HARYANA,20.78,5.3,6.86,196.42,4.12,7.05,72.0,1.664438544413514,False,3.01,Excellent,False
3210, BOKARO,2010,Lake,HARYANA,17.78,5.99,7.18,246.74,2.93,10.73,190.0,1.4904625628414037,False,3.3,Excellent,False
3786," NK AREA,  PO-DAKRA",2019,Pond,HIMACHAL PRADESH,23.1,6.92,7.34,188.5,3.8,4.66,147.5,1.3026323069544,False,3.6,Excellent,False
5815,NEAR TELMUCHO BRIDGE,2002,Reservoir,HIMACHAL PRADESH,21.9,6.98,7.46,214.83,2.21,6.3149999999999995,88.5,1.95091787717924,False,3.68,Excellent,False
3919, TIUNI,2019,River,HIMACHAL PRADESH,19.48,6.22,7.14,240.91,2.7,9.785,263.0,1.6349118287922608,False,3.37,Excellent,False
4786, HARIPUR (U.K.),2013,Pond,HIMACHAL PRADESH,20.92,5.0,7.58,141.85,5.4,8.24,158.0,2.0333386773836675,False,3.05,Excellent,False
9023,D/S RAJGARH TOWN,2014,Pond,HIMACHAL PRADESH,15.59,7.46,7.54,222.65,3.36,8.385,132.0,1.6405751665305381,False,3.8,Excellent,False
7647, BARU SAHIB,2004,Lake,HIMACHAL PRADESH,21.7,7.47,7.2,200.12,3.36,6.945,241.0,1.6578802413002844,False,3.74,Excellent,False
5357,U/S CHAILLA,2010,Reservoir,HIMACHAL PRADESH,17.13,6.26,7.08,232.91,4.72,7.905,95.0,1.1853591915925004,False,3.34,Excellent,False
3972, YASHWANT NAGAR- NEAR SHANI MANDIR,2002,River,HIMACHAL PRADESH,18.44,5.51,7.39,184.93,4.49,5.3,37.0,1.8641507458061912,False,3.18,Excellent,False
6859, VILLAGE MARYOG,2004,Reservoir,HIMACHAL PRADESH,19.64,4.89,6.79,142.16,3.04,7.930000000000001,138.0,1.3811698423731624,False,2.89,Moderate,False
7958, U/S CCI MINES ,2021,Lake,HIMACHAL PRADESH,20.26,6.83,7.03,184.14,3.2,9.62,186.0,1.2559422661175121,False,3.52,Excellent,False
6421,AUN,2017,Lake,HIMACHAL PRADESH,17.38,6.4,7.24,221.76,2.3,6.17,185.5,1.8449204414553442,False,3.46,Excellent,False
5391, SAINJ,2017,Pond,HIMACHAL PRADESH,20.17,4.38,7.28,250.11,4.94,6.235,75.5,1.9069651612673109,False,2.81,Moderate,False
1845, SAINJ,2011,Pond,HIMACHAL PRADESH,26.18,5.95,7.71,202.71,3.0,9.73,165.0,2.053559828633397,False,3.4,Excellent,False
6984,"ION OF INDIA,  BANGRAN BRIDGE",2002,Reservoir,HIMACHAL PRADESH,23.65,5.3,7.14,247.7,4.27,9.89,225.0,1.515427298288974,False,3.07,Excellent,False
5553,ER SUPPLY INTAKE WELL ,2001,River,HIMACHAL PRADESH,24.7,5.69,7.02,104.45,3.4,8.65,229.5,2.2099093439420514,False,3.17,Excellent,False
2931," AGASOD,  BINA",2013,River,HIMACHAL PRADESH,17.24,6.31,7.12,182.54,4.61,9.085,186.5,1.0419508962013482,False,3.36,Excellent,False
6920, M/S J.P. THERMAL POWER,2012,River,HIMACHAL PRADESH,19.84,5.82,7.46,239.82,4.39,3.775,252.5,1.7051631939271552,False,3.29,Excellent,False
1693," CHARANTIRGH, VIDISHA",2007,Pond,HIMACHAL PRADESH,17.53,6.6,7.12,217.93,3.77,7.78,210.0,1.4639085453598446,False,3.46,Excellent,False
