State,Year,Literacy_rate,Male Literacy Rate (%),Female Literacy Rate (%),School Enrollment Rate (%),Dropout_Rate
Goa,2018,88.12944222,0.6156,0.505,0.6932,8.09948817
Delhi,2023,82.48475992,0.8679,0.7241,0.7246,6.983048584
Uttar Pradesh,2020,72.33796081,0.9029,0.6741,0.8157,7.707083441
Goa,2022,88.79664247,0.7958,0.585,0.8427,9.213429907
Meghalaya,2020,82.55416106,0.789,0.6124,0.6261,7.42365848
Puducherry,2022,76.69811229,0.8591,0.6091,0.6583,4.182322358
Jammu & Kashmir,2022,72.78544145,0.9229,0.8947,0.6354,9.585692173
Manipur,2018,85.88050379,0.9356,0.7801,0.9369,8.137160506
Andhra Pradesh,2023,82.40145512,0.9023,0.6926,0.8365,8.059080315
West Bengal,2019,80.66922184,0.8713,0.749,0.6458,5.294050914
Lakshadweep,2019,87.87785166,0.6425,0.9071,0.5515,7.953312821
Odisha,2018,85.77194422,0.6377,0.7512,0.5102,6.363186434
Arunachal Pradesh,2021,73.03349759,0.8536,0.5473,0.9257,7.907397862
Nagaland,2021,76.23444136,0.8306,0.8099,0.6062,4.639558182
Arunachal Pradesh,2019,74.9697828,0.8781,0.8136,0.5773,7.947071828
Goa,2022,84.87892585,0.8543,0.7992,0.9845,9.996482355
Chandigarh,2020,70.67064869,0.912,0.9425,0.5791,4.289272233
Tamil Nadu,2019,81.3977937,0.8256,0.6019,0.8216,9.863045105
Goa,2022,85.24917371,0.9859,0.9788,0.6065,6.441447764
Tamil Nadu,2021,87.53531274,0.6343,0.5328,0.8022,9.224520702
Tamil Nadu,2023,76.84163497,0.8779,0.8741,0.8297,8.694312904
Karnataka,2019,86.42514609,0.6444,0.7951,0.9246,7.402097566
Nagaland,2019,72.21263474,0.901,0.88,0.7538,8.430695256
Sikkim,2021,86.92904583,0.7506,0.6704,0.9099,9.271093368
Puducherry,2018,72.54977325,0.9793,0.9787,0.5508,6.42484193
Haryana,2021,77.94574581,0.9063,0.5605,0.674,5.962198969
Manipur,2023,85.94590732,0.902,0.8062,0.5062,8.005560313
Uttar Pradesh,2018,72.99834855,0.8393,0.9625,0.6815,8.847075652
Uttarakhand,2021,74.5850279,0.9348,0.8021,0.5195,8.573710809
Ladakh,2021,84.44505137,0.748,0.763,0.9751,8.786881893
Ladakh,2023,84.40073073,0.9138,0.704,0.793,6.613499889
Maharashtra,2018,82.82295266,0.8213,0.8233,0.6984,8.907005297
Telangana,2021,83.87896889,0.9679,0.8908,0.7868,4.721254332
Uttarakhand,2022,80.85448887,0.9445,0.7023,0.6858,7.266934588
Madhya Pradesh,2019,75.03598118,0.7028,0.9752,0.5238,4.034551963
West Bengal,2022,76.91391987,0.6388,0.7191,0.8939,5.947514979
Telangana,2022,73.63195434,0.8966,0.6362,0.5732,6.198769209
Andhra Pradesh,2020,88.16901123,0.761,0.7869,0.7906,6.37703615
Rajasthan,2019,81.6678359,0.7003,0.5331,0.5347,8.17280324
Lakshadweep,2021,78.01702834,0.7157,0.5953,0.8183,6.331348608
Nagaland,2018,79.24011607,0.6982,0.6546,0.6197,6.692161736
Assam,2021,88.94566679,0.8412,0.8803,0.8901,5.425264785
Tamil Nadu,2021,73.06702806,0.7818,0.5891,0.9314,6.23951075
Odisha,2019,81.72459664,0.6117,0.795,0.662,5.363617764
Chandigarh,2022,80.11777358,0.9441,0.9718,0.7694,4.439175543
Mizoram,2021,82.22908471,0.6549,0.8603,0.8971,7.62069156
Kerala,2019,70.36220368,0.6093,0.7282,0.7047,8.009276791
Haryana,2022,87.44247818,0.6902,0.8898,0.6054,7.716942076
Gujarat,2023,88.64236565,0.8764,0.558,0.5108,6.780964263
Telangana,2020,81.30266367,0.6917,0.7827,0.8321,6.278714681
Gujarat,2019,83.93301648,0.8844,0.6825,0.8188,9.180001897
Kerala,2019,88.44998762,0.8644,0.936,0.5784,7.114490711
Haryana,2020,84.14477269,0.6696,0.6491,0.8109,6.875091266
Bihar,2019,73.05078086,0.625,0.8305,0.7629,4.153852395
West Bengal,2019,81.5257672,0.8177,0.6118,0.5733,6.047486966
Gujarat,2022,82.13430093,0.6376,0.8616,0.6028,6.281173713
Madhya Pradesh,2019,78.48261343,0.6187,0.9699,0.7311,6.392936685
Gujarat,2021,84.72888471,0.6248,0.7225,0.7933,7.481034215
Tripura,2019,88.6873403,0.9006,0.926,0.8435,7.20161528
Nagaland,2018,88.51137026,0.8724,0.6677,0.5527,7.647430557
Kerala,2020,79.01678743,0.7707,0.6844,0.6472,8.589299569
Goa,2018,72.26476092,0.9702,0.5552,0.9753,8.877914432
Kerala,2020,89.69682398,0.8353,0.9512,0.9274,8.308738457
Gujarat,2018,86.77796173,0.8152,0.7485,0.9644,9.733142176
Meghalaya,2020,72.49325362,0.8279,0.7079,0.672,4.109395496
Rajasthan,2020,88.41683765,0.926,0.5326,0.8024,5.174667914
Arunachal Pradesh,2022,87.39792724,0.8066,0.5357,0.9306,4.04537725
Dadra & Nagar Haveli and Daman & Diu,2023,80.37676114,0.636,0.6383,0.5648,7.884848285
Rajasthan,2018,81.82550871,0.9725,0.9103,0.5276,9.388183294
Mizoram,2021,77.98005408,0.7948,0.9521,0.7999,5.460893779
Lakshadweep,2022,71.09523278,0.9724,0.8422,0.7732,9.562207269
Nagaland,2019,76.70394483,0.6862,0.9161,0.8714,4.361604342
Telangana,2022,86.05706897,0.9263,0.8846,0.5829,9.606616161
Manipur,2023,70.09264046,0.6326,0.9685,0.8903,6.109736123
West Bengal,2023,76.66998343,0.6759,0.6913,0.904,4.608524971
Arunachal Pradesh,2019,77.96337387,0.9311,0.8985,0.5965,6.915230555
Maharashtra,2021,80.74791206,0.7311,0.9399,0.6844,5.540659406
Madhya Pradesh,2023,88.39711233,0.7125,0.8874,0.7012,5.709237412
Manipur,2019,76.92691989,0.6634,0.9136,0.5861,5.84373979
Assam,2020,76.93906404,0.8665,0.5007,0.6411,8.818155387
Jammu & Kashmir,2021,84.75002496,0.7251,0.8415,0.59,7.23496766
Bihar,2021,79.04435882,0.6338,0.705,0.8803,5.867846195
Gujarat,2021,74.49209646,0.6702,0.6074,0.7357,7.6620027
Delhi,2020,79.04879032,0.8099,0.9191,0.8518,8.296904045
Jammu & Kashmir,2019,72.81714041,0.6976,0.7345,0.9212,5.635744004
Lakshadweep,2023,73.52773973,0.7685,0.504,0.9398,6.481294609
Rajasthan,2022,79.96735545,0.9705,0.5858,0.5155,4.73131656
Tamil Nadu,2021,78.37850899,0.6359,0.562,0.7727,5.086896097
Punjab,2020,88.29691802,0.7076,0.9335,0.9697,8.086707124
Bihar,2020,77.24787798,0.8529,0.847,0.911,5.088630086
Karnataka,2023,81.61176701,0.9478,0.7155,0.927,7.150980302
Haryana,2023,82.64528576,0.8505,0.6638,0.6788,8.25427757
Sikkim,2020,70.26188913,0.7844,0.5032,0.8469,4.641261539
Jammu & Kashmir,2018,83.27074744,0.6729,0.637,0.7359,7.403873318
Madhya Pradesh,2023,73.56071934,0.74,0.818,0.7937,5.539376702
Puducherry,2019,89.22140635,0.9665,0.838,0.8407,9.777561251
Ladakh,2019,72.97325456,0.6936,0.8898,0.8044,6.90127388
Delhi,2022,78.29248247,0.9362,0.7047,0.8397,8.835955299
Puducherry,2018,71.70699336,0.9168,0.8802,0.7771,7.301359253
Chandigarh,2023,89.93748504,0.896,0.9211,0.7226,4.260475197
Andhra Pradesh,2023,80.04390021,0.7762,0.5369,0.6412,7.798908254
Meghalaya,2021,81.90770035,0.621,0.5321,0.8176,9.708420053
Maharashtra,2023,71.34152955,0.6113,0.9493,0.6781,7.609670921
Andhra Pradesh,2019,84.99920941,0.7289,0.6253,0.8974,8.915133157
Himachal Pradesh,2022,74.19811186,0.6046,0.7366,0.8555,9.30523878
Haryana,2019,87.96108579,0.8514,0.5092,0.6699,5.368478632
Kerala,2021,74.10279281,0.631,0.6625,0.7532,5.272269039
Gujarat,2022,73.81375441,0.9441,0.7245,0.6148,7.665885933
Arunachal Pradesh,2022,70.73099336,0.9786,0.6809,0.9531,6.466170819
Meghalaya,2020,79.4413389,0.9636,0.5244,0.6461,9.039167817
Gujarat,2023,81.29682267,0.8838,0.8308,0.9512,9.40013874
Jharkhand,2022,71.31417279,0.7452,0.8608,0.5289,6.120528276
Uttar Pradesh,2020,85.51055233,0.7052,0.9553,0.5886,5.421223354
Andaman & Nicobar Islands,2020,79.06577669,0.6041,0.7518,0.8102,8.683153091
Haryana,2019,80.48780539,0.933,0.5189,0.7648,5.648836213
Tamil Nadu,2022,78.81525494,0.9627,0.561,0.9192,8.935685911
Jharkhand,2020,78.01526122,0.8337,0.927,0.8928,6.542429522
Meghalaya,2021,81.19280663,0.6026,0.9216,0.5397,8.005299396
Arunachal Pradesh,2018,73.10480492,0.9588,0.9154,0.6402,4.573211883
Bihar,2023,73.63856261,0.9829,0.6109,0.7758,7.743155948
Chhattisgarh,2023,87.23571242,0.7329,0.5348,0.6081,6.710606072
Madhya Pradesh,2020,88.92230924,0.899,0.5772,0.9012,7.519650779
Tamil Nadu,2022,77.46618633,0.6254,0.6829,0.8897,5.008085246
Tripura,2019,75.41489346,0.8972,0.8301,0.6623,8.42124247
Gujarat,2023,82.87999086,0.9407,0.8248,0.9527,9.176782465
Sikkim,2020,78.17468342,0.7103,0.8325,0.8314,5.300438801
Lakshadweep,2020,70.50772711,0.6853,0.7003,0.6368,4.574287333
Andaman & Nicobar Islands,2022,73.12305195,0.7308,0.6451,0.8193,4.141831516
West Bengal,2023,84.31944458,0.8182,0.8224,0.7076,7.851829003
Assam,2023,83.17847884,0.7353,0.9592,0.5044,7.642564217
Ladakh,2019,70.54191985,0.7811,0.8251,0.7943,7.280184476
Delhi,2023,74.43944324,0.8597,0.7931,0.556,5.391682577
Delhi,2019,74.62149593,0.6892,0.7465,0.6089,6.345435975
Uttarakhand,2023,83.43785487,0.8795,0.8792,0.8637,7.566858011
Dadra & Nagar Haveli and Daman & Diu,2019,70.39421076,0.9552,0.8708,0.8497,6.980601153
Andaman & Nicobar Islands,2019,72.08217164,0.8354,0.7712,0.5064,9.926713121
Jharkhand,2020,85.99832171,0.8223,0.5437,0.6907,4.818638515
Tamil Nadu,2022,73.57089324,0.6172,0.7312,0.7053,8.170867324
Karnataka,2022,83.05492216,0.7785,0.8329,0.6741,6.425912609
Goa,2018,74.76365562,0.9606,0.516,0.7926,6.56919769
Andaman & Nicobar Islands,2023,71.98882786,0.6739,0.6901,0.6875,8.305586594
Puducherry,2022,74.86344382,0.9847,0.5442,0.514,8.154616908
Maharashtra,2023,84.44533864,0.9567,0.5589,0.8913,9.947535962
Chhattisgarh,2018,87.11392936,0.9641,0.8898,0.7649,4.770365737
Maharashtra,2019,86.60439729,0.675,0.8317,0.5265,4.624657896
Odisha,2020,77.94367059,0.9489,0.8217,0.6941,8.346032903
Maharashtra,2020,83.36170273,0.8763,0.9586,0.9227,7.470321502
Kerala,2020,74.09968591,0.8603,0.7957,0.7577,5.644963999
Sikkim,2020,75.86295461,0.7809,0.9072,0.8523,4.476516214
Meghalaya,2023,87.92671637,0.6314,0.681,0.7911,4.513949498
Chhattisgarh,2018,70.26003847,0.7527,0.5819,0.7701,9.365145248
Jammu & Kashmir,2022,71.71017062,0.6535,0.8054,0.8749,5.151203948
Tamil Nadu,2018,74.1577251,0.8075,0.886,0.8233,5.940229373
Jharkhand,2022,70.53064408,0.6266,0.572,0.5693,5.359938413
Ladakh,2023,73.6287087,0.793,0.6432,0.9586,6.129977835
Arunachal Pradesh,2018,81.66083122,0.6982,0.6617,0.8922,4.416543056
Ladakh,2021,78.42849101,0.7513,0.9015,0.9012,7.114358745
Maharashtra,2019,87.85343422,0.6522,0.5111,0.8272,4.405675382
Rajasthan,2022,86.34887123,0.7361,0.8732,0.8281,8.802139047
Arunachal Pradesh,2020,76.83634703,0.8908,0.6372,0.5497,5.402272491
Punjab,2021,75.18846867,0.6668,0.6136,0.728,7.240071488
Chhattisgarh,2019,77.59384816,0.6394,0.7592,0.9248,9.280474525
Bihar,2019,81.80589885,0.9297,0.6459,0.6869,7.905264214
Andaman & Nicobar Islands,2020,75.36127282,0.7565,0.8727,0.7021,7.197746719
Sikkim,2021,82.48297816,0.8582,0.8697,0.5817,5.946002519
Mizoram,2018,78.18823304,0.6258,0.6726,0.5547,5.998011478
Nagaland,2023,81.04094362,0.6167,0.8591,0.6803,8.016921731
Karnataka,2019,78.72253058,0.8836,0.6323,0.9327,9.964836167
Rajasthan,2023,75.88931519,0.6659,0.7229,0.5799,7.971035139
Odisha,2018,88.96906614,0.6312,0.8982,0.8017,7.346700504
Maharashtra,2022,85.27211588,0.9277,0.6466,0.5403,8.383903061
Nagaland,2019,72.80226352,0.9696,0.5626,0.5957,6.791233674
Ladakh,2018,87.36935952,0.6385,0.5675,0.8294,4.360854056
Dadra & Nagar Haveli and Daman & Diu,2022,79.74862396,0.9489,0.5786,0.8223,7.373780895
Punjab,2022,87.89104454,0.7838,0.6959,0.9439,9.745751707
Odisha,2021,85.99710512,0.9447,0.7531,0.5744,5.051817654
Dadra & Nagar Haveli and Daman & Diu,2019,78.50427009,0.925,0.8579,0.8411,8.140029345
Puducherry,2022,70.44938617,0.7184,0.565,0.9482,5.205602132
Dadra & Nagar Haveli and Daman & Diu,2018,75.37354719,0.974,0.9293,0.8061,7.214966107
Uttarakhand,2023,80.83268429,0.756,0.9439,0.7914,4.580058698
Mizoram,2021,82.6695644,0.9674,0.8649,0.575,6.702225618
Jammu & Kashmir,2022,75.15775371,0.6979,0.647,0.6069,8.536979973
Tripura,2022,72.78712148,0.7882,0.615,0.7799,6.085429145
Andaman & Nicobar Islands,2023,86.69860474,0.8824,0.6551,0.528,7.989470347
Uttar Pradesh,2023,89.68804361,0.833,0.8615,0.9431,8.772699765
Karnataka,2020,80.51380365,0.8603,0.733,0.7045,9.563066917
Mizoram,2021,73.43358572,0.6363,0.907,0.8238,5.407852491
Jammu & Kashmir,2023,75.44614653,0.6238,0.539,0.7245,6.395895495
Jammu & Kashmir,2020,70.36781353,0.845,0.9344,0.8865,4.91449608
Tripura,2023,88.28597613,0.7988,0.6697,0.8031,9.954901013
Chhattisgarh,2020,72.35502166,0.7388,0.7948,0.7944,9.562005808
Uttar Pradesh,2022,81.53032951,0.9795,0.5889,0.6331,7.239742782
Andaman & Nicobar Islands,2018,75.48110441,0.7135,0.518,0.8674,9.052199766
Kerala,2018,81.08356005,0.9396,0.6031,0.6477,7.125747864
Himachal Pradesh,2022,83.02840777,0.759,0.6994,0.955,7.741514128
West Bengal,2018,86.59483607,0.7575,0.5066,0.7964,4.534746593
Goa,2023,74.12842544,0.7473,0.9717,0.92,8.531622523
Telangana,2022,70.21991657,0.7815,0.5911,0.8077,4.766280902
Himachal Pradesh,2020,72.7377126,0.8308,0.9177,0.8343,8.956405782
Bihar,2020,88.00037284,0.6135,0.8468,0.5023,8.692168526
Tripura,2022,87.47780155,0.8926,0.8628,0.9494,8.252468186
Karnataka,2023,81.94826204,0.91,0.7912,0.9185,4.216962283
Meghalaya,2021,82.01033721,0.603,0.9237,0.9544,5.818770136
Mizoram,2023,83.30073349,0.7255,0.8022,0.5483,5.578675419
Ladakh,2020,73.50742557,0.9732,0.6145,0.5612,6.160818445
Punjab,2023,88.28823892,0.6703,0.5257,0.6846,4.525856481
Himachal Pradesh,2021,78.3754105,0.8143,0.9553,0.565,9.621746938
Goa,2019,77.66277056,0.6206,0.8021,0.7359,7.322813444
Rajasthan,2020,80.37835411,0.7979,0.5844,0.9764,5.833145864
Tamil Nadu,2022,70.93931934,0.9078,0.5048,0.8057,6.381889102
Haryana,2018,73.32566738,0.9682,0.6507,0.973,6.683215243
Andhra Pradesh,2022,84.76067233,0.6182,0.7691,0.6997,7.603566
Chhattisgarh,2021,71.65597336,0.7733,0.6472,0.6495,7.094076566
Jharkhand,2021,82.06304219,0.8866,0.73,0.5851,9.516351839
Lakshadweep,2020,74.90698219,0.9843,0.5137,0.7402,6.981780897
Lakshadweep,2020,77.78591228,0.7009,0.7595,0.504,9.952948089
Punjab,2021,75.77387474,0.8541,0.7627,0.6215,9.108549746
Jharkhand,2021,77.11345433,0.7049,0.8651,0.8587,5.251063086
Karnataka,2022,84.3809181,0.6717,0.9197,0.8472,9.583571288
Lakshadweep,2023,75.94243431,0.874,0.6298,0.719,4.698198387
Haryana,2018,81.32809281,0.6068,0.9654,0.5129,8.904698251
Telangana,2019,79.52100804,0.9531,0.585,0.8911,6.283739761
Bihar,2021,83.27342331,0.6564,0.7294,0.8708,9.267845923
Chandigarh,2021,88.73659479,0.8681,0.8746,0.6743,9.208340141
Himachal Pradesh,2019,84.65144194,0.7429,0.9194,0.8746,8.835552401
Telangana,2018,74.29880757,0.6784,0.552,0.9562,8.740182618
Chandigarh,2019,70.6236627,0.6334,0.52,0.9589,5.828074835
Telangana,2019,75.24528089,0.6351,0.9441,0.8652,4.485515698
Chhattisgarh,2020,81.90155861,0.9519,0.8129,0.8324,6.417881073
Andaman & Nicobar Islands,2018,71.02851627,0.6598,0.9011,0.7687,5.04114709
Puducherry,2020,79.92732494,0.9645,0.8584,0.5422,8.169706533
Jharkhand,2018,81.93685698,0.9583,0.8484,0.5762,6.076598359
Puducherry,2023,76.68487782,0.8725,0.7026,0.6737,9.853661205
Mizoram,2019,85.41824407,0.8797,0.8384,0.7887,7.845832464
Tamil Nadu,2023,72.13196506,0.8584,0.5596,0.7692,8.934883382
Telangana,2021,71.50275563,0.7862,0.6865,0.864,4.795148036
Assam,2018,84.56377512,0.8093,0.8529,0.6593,9.172086894
Lakshadweep,2021,79.90982632,0.7078,0.7039,0.6684,9.536543143
Himachal Pradesh,2018,83.76804793,0.8449,0.9731,0.8257,6.922371513
Mizoram,2018,78.69654677,0.8103,0.9439,0.5689,7.637517627
Chhattisgarh,2018,74.92804066,0.6823,0.633,0.7594,8.588858805
Madhya Pradesh,2018,86.38204635,0.7605,0.9235,0.7063,5.049031764
Manipur,2018,85.98831758,0.7762,0.8956,0.6716,7.015396459
Himachal Pradesh,2018,83.89392942,0.7892,0.7257,0.7538,6.391978167
Meghalaya,2021,75.44290274,0.7918,0.7016,0.6359,4.878243953
Nagaland,2020,81.80461334,0.9289,0.613,0.6568,6.205206534
Andaman & Nicobar Islands,2021,77.21947794,0.7302,0.7885,0.5024,4.409033856
Tamil Nadu,2020,71.83164147,0.6323,0.7807,0.6722,4.154871442
Mizoram,2023,88.34627151,0.624,0.6597,0.5009,4.810997735
Himachal Pradesh,2021,72.73637262,0.7409,0.8037,0.624,9.77869067
Himachal Pradesh,2020,89.00474708,0.9226,0.8181,0.7275,7.297177215
Karnataka,2020,78.92011546,0.8891,0.7415,0.6721,9.794932967
Chandigarh,2018,73.70265858,0.8569,0.9236,0.7585,6.59498727
Jammu & Kashmir,2023,80.83801895,0.8985,0.8786,0.8887,5.870896799
Odisha,2020,87.45891672,0.6684,0.5316,0.9552,7.036851177
Telangana,2018,84.64449773,0.7362,0.7216,0.6638,6.637070132
Mizoram,2020,86.13122296,0.8449,0.6016,0.8621,4.633988106
Uttarakhand,2023,83.17566733,0.6757,0.7614,0.8306,7.844957888
Chhattisgarh,2022,83.84553129,0.7031,0.6023,0.6486,5.296229095
West Bengal,2023,86.98391303,0.755,0.9277,0.8047,7.717527729
Meghalaya,2019,74.99336018,0.6912,0.5251,0.5663,7.901206554
West Bengal,2018,79.78849927,0.7802,0.8996,0.9327,4.912149119
Himachal Pradesh,2018,74.42418884,0.8192,0.697,0.9514,4.368097763
Jharkhand,2019,89.75336016,0.8827,0.7911,0.8226,8.684569516
Dadra & Nagar Haveli and Daman & Diu,2023,88.88118679,0.6256,0.6249,0.6047,6.758802543
Madhya Pradesh,2018,70.78853623,0.8666,0.7893,0.7991,4.348982773
Tripura,2022,84.11150345,0.9157,0.589,0.8873,9.969197903
Assam,2022,88.50496635,0.7627,0.8873,0.6729,4.346683366
Sikkim,2023,73.6115069,0.6813,0.7863,0.7477,8.170211373
Dadra & Nagar Haveli and Daman & Diu,2023,81.35890461,0.9536,0.8113,0.8417,9.902073552
Maharashtra,2023,88.30976595,0.9304,0.627,0.8901,5.435080625
Manipur,2019,70.67891957,0.7081,0.5806,0.7153,4.853496212
Punjab,2021,83.94840534,0.8961,0.5177,0.948,4.728309637
Odisha,2019,75.94698015,0.8603,0.58,0.9653,5.819650885
Himachal Pradesh,2020,88.48792391,0.8969,0.6757,0.8513,4.606274866
Haryana,2021,89.4211649,0.704,0.936,0.5477,8.15296805
Nagaland,2022,88.88532978,0.9545,0.8758,0.7811,4.373750789
Dadra & Nagar Haveli and Daman & Diu,2022,79.48428433,0.7156,0.6075,0.5459,7.056532769
Meghalaya,2023,87.24085302,0.6695,0.5099,0.6872,9.980181123
Haryana,2020,86.89098797,0.8613,0.6125,0.8871,8.883821617
Jharkhand,2021,76.38200946,0.7702,0.9329,0.852,7.691316629
Tamil Nadu,2018,86.57830948,0.671,0.6558,0.7737,5.837521725
Arunachal Pradesh,2023,70.74015269,0.6396,0.7702,0.9359,7.743375018
Rajasthan,2020,81.92539757,0.6501,0.7289,0.968,7.162248783
Dadra & Nagar Haveli and Daman & Diu,2018,74.60017675,0.963,0.7584,0.9569,6.556500303
Uttar Pradesh,2023,72.41133772,0.9523,0.9292,0.9861,4.78426226
Tamil Nadu,2020,71.53906403,0.6501,0.6537,0.6849,9.319625291
Tamil Nadu,2019,83.92577552,0.9237,0.7667,0.7113,6.698707893
Ladakh,2019,76.79749928,0.8165,0.7316,0.8171,5.167735071
Jharkhand,2021,84.49533543,0.6271,0.8056,0.6494,6.206556105
Meghalaya,2018,71.30712682,0.6416,0.8748,0.9608,6.484778515
Kerala,2021,76.30580676,0.829,0.6326,0.5896,8.965227373
Meghalaya,2020,80.78982585,0.6307,0.7019,0.7262,8.401686283
Delhi,2020,85.8144633,0.6088,0.5846,0.7462,8.615829362
Kerala,2019,76.37505006,0.9614,0.5148,0.5509,4.066187587
Meghalaya,2018,82.51782753,0.6024,0.6648,0.8775,6.496923989
Karnataka,2023,87.71955496,0.7577,0.6461,0.8986,6.88806491
Sikkim,2021,82.31726376,0.8113,0.9628,0.824,4.115153661
Madhya Pradesh,2020,74.6591895,0.8597,0.9293,0.5977,5.558879252
Jharkhand,2022,70.48801563,0.6779,0.6177,0.9861,8.561738939
Kerala,2022,87.40197748,0.797,0.552,0.5409,4.822658234
Manipur,2020,70.42538822,0.63,0.9577,0.815,7.211860789
West Bengal,2019,87.49403345,0.6559,0.7079,0.667,5.291211232
Assam,2023,80.57874268,0.8435,0.5917,0.5856,4.072724648
Bihar,2021,88.78135397,0.8326,0.9043,0.6376,5.447208746
Punjab,2022,85.97566472,0.9158,0.9059,0.5954,9.855242529
Madhya Pradesh,2019,89.95868221,0.7895,0.7675,0.5303,8.809222671
Chhattisgarh,2021,77.01423631,0.7183,0.5519,0.9143,9.757459866
Sikkim,2023,85.34376578,0.7564,0.9713,0.9821,6.927124264
Haryana,2020,78.03861827,0.7784,0.5029,0.9039,4.658417192
Uttarakhand,2019,79.59751241,0.8551,0.8917,0.6223,7.287756934
Punjab,2019,82.55010926,0.7392,0.6843,0.8149,6.726264007
Delhi,2020,87.47354228,0.9289,0.9582,0.6417,9.066142496
Dadra & Nagar Haveli and Daman & Diu,2022,89.68166938,0.6221,0.9622,0.863,4.588495485
Jharkhand,2020,85.36546828,0.9135,0.8704,0.7025,6.929446822
Jharkhand,2019,78.35533564,0.6307,0.6376,0.7663,4.900291988
Bihar,2018,78.42714005,0.6676,0.5111,0.505,5.948055561
Himachal Pradesh,2022,84.75164603,0.801,0.9755,0.5713,8.424142464
Jammu & Kashmir,2022,74.77554292,0.6414,0.9354,0.7554,6.856108776
Telangana,2018,72.20948226,0.8033,0.7264,0.7035,6.255329711
Bihar,2021,77.09244315,0.6875,0.8872,0.6223,6.366857671
Uttar Pradesh,2022,75.74477983,0.7707,0.7062,0.7933,6.75668061
Mizoram,2018,75.92616241,0.8961,0.7475,0.9017,8.710099263
Manipur,2021,74.67215502,0.9422,0.7411,0.9584,9.352508134
Bihar,2019,70.84186379,0.87,0.5843,0.8366,9.732008119
Tamil Nadu,2022,70.35747869,0.7525,0.7244,0.6582,8.721420318
