State,Year,Labor Force Participation Rate (%),Unemployment_rate,Youth Unemployment Rate (%),Female Unemployment Rate (%),Employment in Agriculture (%),Employment in Services (%)
Karnataka,2019,0.3658,5.298202575,0.1309,0.1024,0.6902,0.1405
Nagaland,2019,0.5913,8.947547746,0.1037,0.1936,0.5182,0.2508
Sikkim,2021,0.3345,8.088979077,0.1118,0.0815,0.3569,0.3316
Puducherry,2018,0.6864,5.794862726,0.0964,0.1697,0.2782,0.4834
Haryana,2021,0.3187,5.022088468,0.2212,0.0383,0.1208,0.1262
Manipur,2023,0.3232,8.261845714,0.1686,0.1281,0.296,0.4353
Uttar Pradesh,2018,0.3963,7.827429375,0.2043,0.0509,0.3322,0.3304
Uttarakhand,2021,0.4461,7.916028672,0.0811,0.1464,0.6697,0.2448
Ladakh,2021,0.4869,8.085081387,0.1389,0.1929,0.3719,0.552
Ladakh,2023,0.4461,5.296178607,0.2267,0.1585,0.2097,0.3312
Maharashtra,2018,0.3309,6.433862914,0.132,0.0988,0.5839,0.1398
Telangana,2021,0.5798,5.463476238,0.1221,0.0924,0.1554,0.525
Uttarakhand,2022,0.4273,8.452413704,0.0763,0.1727,0.5748,0.4838
Madhya Pradesh,2019,0.5632,7.493192507,0.1749,0.1262,0.6831,0.5355
West Bengal,2022,0.5583,6.323592099,0.1343,0.1384,0.6297,0.3278
Telangana,2022,0.5919,5.254233401,0.1381,0.0402,0.6226,0.2571
Andhra Pradesh,2020,0.5231,6.243929287,0.1393,0.0444,0.632,0.2262
Rajasthan,2019,0.4888,6.300733288,0.1636,0.0405,0.4217,0.2203
Lakshadweep,2021,0.3506,7.918424713,0.1956,0.0572,0.1305,0.3746
Nagaland,2018,0.4661,7.550229885,0.1651,0.0678,0.4123,0.419
Assam,2021,0.4335,8.54885097,0.0515,0.12,0.1974,0.2422
Tamil Nadu,2021,0.3659,6.888859701,0.0669,0.1702,0.394,0.5514
Odisha,2019,0.3489,5.478376984,0.2035,0.1582,0.5922,0.1922
Chandigarh,2022,0.4062,7.852979149,0.2083,0.0832,0.1699,0.1452
Mizoram,2021,0.6295,8.043140194,0.0971,0.1925,0.4945,0.4665
Kerala,2019,0.5304,7.24510879,0.117,0.1973,0.45,0.1995
Haryana,2022,0.5657,8.08386872,0.1579,0.1258,0.493,0.2512
Gujarat,2023,0.3371,6.975182385,0.2266,0.1821,0.6692,0.2715
Telangana,2020,0.4404,7.090931318,0.0906,0.1434,0.5912,0.2977
Gujarat,2019,0.6263,6.710164073,0.2215,0.1221,0.6289,0.4795
Kerala,2019,0.5415,5.101676507,0.0925,0.0557,0.5788,0.2766
Haryana,2020,0.3294,5.431565708,0.0543,0.1578,0.2135,0.141
Bihar,2019,0.4997,5.125716743,0.2018,0.0331,0.1248,0.3853
West Bengal,2019,0.4846,7.545641645,0.1536,0.1761,0.3276,0.4508
Gujarat,2022,0.4855,6.257423924,0.1703,0.069,0.5087,0.1457
Madhya Pradesh,2019,0.5663,7.034282765,0.1229,0.1214,0.1098,0.2208
Gujarat,2021,0.5231,8.630265896,0.2055,0.078,0.2204,0.5865
Tripura,2019,0.5936,5.997168917,0.1517,0.1874,0.5496,0.5702
Nagaland,2018,0.3626,6.641531692,0.108,0.1428,0.2189,0.5031
Kerala,2020,0.6566,8.022204554,0.215,0.108,0.4957,0.5256
Goa,2018,0.6387,5.915192662,0.0784,0.1236,0.2759,0.1726
Kerala,2020,0.3632,5.307919639,0.2472,0.1492,0.2549,0.1296
Gujarat,2018,0.3592,6.159005812,0.1788,0.1984,0.4612,0.1929
Meghalaya,2020,0.5989,5.644885149,0.1862,0.1936,0.1787,0.3632
Rajasthan,2020,0.4789,8.718790609,0.082,0.0594,0.2899,0.3202
Arunachal Pradesh,2022,0.3868,8.232481518,0.1383,0.0494,0.5892,0.4395
Dadra & Nagar Haveli and Daman & Diu,2023,0.6062,7.533615026,0.1756,0.1442,0.3764,0.5803
Rajasthan,2018,0.379,8.485842361,0.0613,0.1185,0.4047,0.127
Mizoram,2021,0.4074,8.214688308,0.209,0.1642,0.3727,0.211
Lakshadweep,2022,0.6421,5.746280236,0.1253,0.1999,0.2599,0.5684
Nagaland,2019,0.612,8.570235994,0.1838,0.0363,0.1066,0.1225
Telangana,2022,0.6392,7.157368968,0.1451,0.0562,0.2059,0.2653
Manipur,2023,0.5179,8.229760621,0.1733,0.1629,0.5369,0.4339
West Bengal,2023,0.4585,8.5843652,0.1732,0.0385,0.3851,0.4565
Arunachal Pradesh,2019,0.4793,6.2720139,0.2214,0.1876,0.6145,0.2806
Maharashtra,2021,0.3782,5.440207698,0.1873,0.1909,0.4779,0.1775
Madhya Pradesh,2023,0.5407,5.91174065,0.0512,0.1969,0.5835,0.2254
Manipur,2019,0.5783,6.708431155,0.1033,0.1373,0.4833,0.5816
Assam,2020,0.5066,8.272059064,0.0734,0.0544,0.1361,0.1179
Jammu & Kashmir,2021,0.3717,8.442922333,0.0718,0.0692,0.4799,0.5931
Bihar,2021,0.6937,5.027808522,0.1155,0.1345,0.1109,0.5221
Gujarat,2021,0.531,7.04298921,0.245,0.1995,0.4686,0.1197
Delhi,2020,0.5321,6.669644013,0.0957,0.1973,0.3851,0.5273
Jammu & Kashmir,2019,0.4799,5.888431242,0.206,0.1904,0.1067,0.2205
Lakshadweep,2023,0.5535,5.479461469,0.187,0.033,0.497,0.2411
Rajasthan,2022,0.6822,6.350460686,0.1877,0.1083,0.4626,0.5193
Tamil Nadu,2021,0.6747,8.771638816,0.1552,0.1985,0.4427,0.3776
Punjab,2020,0.3599,6.292811728,0.1739,0.0443,0.4271,0.4846
Bihar,2020,0.4695,7.075162487,0.2176,0.1591,0.6434,0.1628
Karnataka,2023,0.6554,7.812075836,0.1943,0.1988,0.5661,0.3966
Haryana,2023,0.3786,6.45451841,0.1582,0.0466,0.5308,0.5903
Sikkim,2020,0.6013,8.887128331,0.1161,0.0603,0.6739,0.4778
Jammu & Kashmir,2018,0.6072,8.84978918,0.0771,0.095,0.2208,0.4563
Madhya Pradesh,2023,0.3729,6.007129183,0.2047,0.0499,0.5502,0.4246
Puducherry,2019,0.3023,6.988994024,0.0984,0.0342,0.1046,0.4631
Ladakh,2019,0.5299,6.203513239,0.1415,0.1821,0.5976,0.3089
Delhi,2022,0.369,6.139361978,0.1476,0.0341,0.3203,0.4014
Puducherry,2018,0.5413,5.147547789,0.115,0.1677,0.2708,0.1422
Chandigarh,2023,0.6962,7.438257336,0.1255,0.0607,0.419,0.2774
Andhra Pradesh,2023,0.5771,7.010716093,0.1869,0.0527,0.2555,0.5822
Meghalaya,2021,0.4964,5.205915005,0.1349,0.195,0.6053,0.2031
Maharashtra,2023,0.4644,6.114585857,0.2276,0.1229,0.2482,0.4398
Andhra Pradesh,2019,0.5308,8.633063544,0.2362,0.1454,0.2217,0.1692
Himachal Pradesh,2022,0.3824,5.958247563,0.1539,0.1293,0.1208,0.3942
Haryana,2019,0.475,5.579579488,0.0986,0.0918,0.1355,0.3507
Kerala,2021,0.6437,6.957811041,0.0686,0.0372,0.6706,0.1482
Gujarat,2022,0.4891,8.942601816,0.0594,0.1566,0.2975,0.1445
Arunachal Pradesh,2022,0.3798,5.968221086,0.2051,0.1676,0.5292,0.293
Meghalaya,2020,0.5963,7.68854219,0.2014,0.13,0.2978,0.32
Gujarat,2023,0.4282,8.046478461,0.2468,0.1272,0.6699,0.4161
Jharkhand,2022,0.6889,5.950550176,0.192,0.1339,0.1724,0.4601
Uttar Pradesh,2020,0.3528,7.912865394,0.1012,0.1161,0.3089,0.1736
Andaman & Nicobar Islands,2020,0.6392,6.471132531,0.2147,0.1978,0.568,0.2132
Haryana,2019,0.5007,7.529223322,0.0528,0.1991,0.1073,0.4805
Tamil Nadu,2022,0.4955,7.534118843,0.1981,0.1995,0.2786,0.2199
Jharkhand,2020,0.3309,7.143098736,0.1609,0.1556,0.6384,0.3491
Meghalaya,2021,0.5881,5.36115908,0.2156,0.1916,0.6734,0.4122
Arunachal Pradesh,2018,0.3627,8.341209982,0.1296,0.0945,0.6127,0.2885
Bihar,2023,0.3411,6.28312026,0.0567,0.1744,0.635,0.229
Chhattisgarh,2023,0.4347,5.746074042,0.2309,0.1798,0.605,0.5798
Madhya Pradesh,2020,0.5519,5.163100566,0.18,0.108,0.5025,0.4612
Tamil Nadu,2022,0.4125,7.363571773,0.2456,0.1534,0.6708,0.1155
Tripura,2019,0.3876,7.710257447,0.1784,0.0339,0.5484,0.5684
Gujarat,2023,0.6249,5.066351316,0.1402,0.085,0.3714,0.3055
Sikkim,2020,0.589,7.048372233,0.0926,0.1698,0.2846,0.1968
Lakshadweep,2020,0.3624,5.905983101,0.0687,0.0715,0.4592,0.1888
Andaman & Nicobar Islands,2022,0.4948,7.580691162,0.1873,0.1547,0.2446,0.5935
West Bengal,2023,0.5018,5.697465716,0.157,0.1704,0.4907,0.3803
Assam,2023,0.5382,7.763750952,0.1909,0.069,0.5718,0.1848
Ladakh,2019,0.6364,6.546941385,0.1794,0.1236,0.5838,0.2924
Delhi,2023,0.683,8.746919955,0.0502,0.1317,0.119,0.5077
Delhi,2019,0.6692,5.550083777,0.1937,0.1826,0.2205,0.4791
Uttarakhand,2023,0.3817,6.364265404,0.1931,0.0443,0.4489,0.1976
Dadra & Nagar Haveli and Daman & Diu,2019,0.6349,5.453894085,0.1988,0.0734,0.1143,0.2359
Andaman & Nicobar Islands,2019,0.5451,8.698774473,0.0633,0.1213,0.4132,0.2569
Jharkhand,2020,0.3547,8.509357414,0.1731,0.1437,0.6003,0.4074
Tamil Nadu,2022,0.5411,6.031766511,0.1753,0.0407,0.6245,0.1193
Karnataka,2022,0.4481,7.639936184,0.1963,0.0553,0.1375,0.5308
Goa,2018,0.3316,8.268888801,0.0694,0.179,0.5411,0.4522
Andaman & Nicobar Islands,2023,0.6143,7.220803246,0.1352,0.0504,0.4436,0.4686
Puducherry,2022,0.3694,7.118602313,0.1338,0.0577,0.2594,0.3998
Maharashtra,2023,0.5626,5.967409164,0.1218,0.0722,0.2666,0.103
Chhattisgarh,2018,0.5672,5.372411071,0.1547,0.183,0.1773,0.4355
Maharashtra,2019,0.6994,8.588863032,0.0691,0.1028,0.6069,0.4224
Odisha,2020,0.4032,8.601672229,0.1003,0.0794,0.5791,0.4696
Maharashtra,2020,0.3163,7.532405829,0.2437,0.0311,0.6768,0.5855
Kerala,2020,0.4027,6.356119164,0.0553,0.1516,0.2519,0.1101
Sikkim,2020,0.5384,6.396838298,0.093,0.0438,0.5266,0.3287
Meghalaya,2023,0.6217,7.903822715,0.1188,0.1031,0.6643,0.3616
Chhattisgarh,2018,0.5973,8.58844104,0.1085,0.157,0.4772,0.1126
Jammu & Kashmir,2022,0.3878,8.548345697,0.2368,0.0408,0.2466,0.2631
Tamil Nadu,2018,0.6695,8.119502183,0.1644,0.0604,0.661,0.3744
Jharkhand,2022,0.683,7.568126585,0.1404,0.1436,0.5487,0.1029
Ladakh,2023,0.5159,5.33655986,0.123,0.0418,0.5791,0.2296
Arunachal Pradesh,2018,0.47,5.646514856,0.1483,0.0824,0.4233,0.1358
Ladakh,2021,0.4884,8.594216754,0.0691,0.1086,0.2462,0.5537
Maharashtra,2019,0.6274,7.425716239,0.1435,0.0845,0.2999,0.3752
Rajasthan,2022,0.3413,5.036788206,0.2137,0.1798,0.3153,0.4763
Arunachal Pradesh,2020,0.6106,5.405886171,0.145,0.1087,0.5286,0.4605
Punjab,2021,0.5792,7.654007076,0.0816,0.1309,0.5875,0.4109
Chhattisgarh,2019,0.6851,5.020246335,0.1065,0.1901,0.3434,0.4321
Bihar,2019,0.3198,5.643232206,0.0543,0.1811,0.4765,0.5871
Andaman & Nicobar Islands,2020,0.6984,7.194935157,0.1963,0.0713,0.3854,0.1751
Sikkim,2021,0.5818,7.767580791,0.1296,0.0812,0.1103,0.5714
Mizoram,2018,0.4827,7.607845038,0.0831,0.1201,0.6415,0.1939
Nagaland,2023,0.6324,5.897077238,0.2367,0.1018,0.6795,0.223
Karnataka,2019,0.4677,7.848716885,0.2129,0.1071,0.3655,0.1962
Rajasthan,2023,0.4864,5.94899635,0.0789,0.1059,0.3731,0.2741
Odisha,2018,0.5023,6.301598793,0.1244,0.1185,0.5466,0.1592
Maharashtra,2022,0.5112,7.98596562,0.129,0.1976,0.2998,0.1738
Nagaland,2019,0.6701,7.598531596,0.2338,0.0785,0.3215,0.5818
Ladakh,2018,0.3282,8.396893642,0.2164,0.0453,0.1314,0.2775
Dadra & Nagar Haveli and Daman & Diu,2022,0.3542,7.630451569,0.147,0.1687,0.2204,0.4995
Punjab,2022,0.5914,7.273234413,0.1087,0.1221,0.1884,0.1924
Odisha,2021,0.6875,5.374699071,0.1777,0.138,0.6509,0.4294
Dadra & Nagar Haveli and Daman & Diu,2019,0.6751,6.470863212,0.1337,0.1883,0.1548,0.2991
Puducherry,2022,0.6353,6.060809471,0.0597,0.1035,0.2372,0.1089
Dadra & Nagar Haveli and Daman & Diu,2018,0.6419,5.975958574,0.0749,0.0781,0.2113,0.324
Uttarakhand,2023,0.6185,8.892042219,0.2164,0.0708,0.3262,0.3726
Mizoram,2021,0.3564,6.572390899,0.2408,0.0545,0.2525,0.4837
Jammu & Kashmir,2022,0.6056,8.568186221,0.2063,0.1642,0.4139,0.4123
Tripura,2022,0.5004,7.524554504,0.0815,0.0414,0.4789,0.2357
Andaman & Nicobar Islands,2023,0.4766,8.179245214,0.2126,0.1002,0.2634,0.2193
Uttar Pradesh,2023,0.4065,7.010548372,0.0856,0.1843,0.1248,0.4365
Karnataka,2020,0.629,7.307615539,0.0839,0.0416,0.6861,0.2709
Mizoram,2021,0.3445,6.970070775,0.1387,0.1226,0.5095,0.471
Jammu & Kashmir,2023,0.6952,5.780971951,0.0735,0.0356,0.1665,0.3056
Jammu & Kashmir,2020,0.5951,7.889808461,0.2424,0.1198,0.6855,0.4237
Tripura,2023,0.5958,6.12308945,0.141,0.1668,0.3419,0.4947
Chhattisgarh,2020,0.3234,5.097263866,0.068,0.165,0.6378,0.1339
Uttar Pradesh,2022,0.6238,7.581889184,0.123,0.0625,0.522,0.3565
Andaman & Nicobar Islands,2018,0.6564,5.708442718,0.0888,0.0884,0.1498,0.2316
Kerala,2018,0.4978,8.761834337,0.1157,0.0482,0.4631,0.5297
Himachal Pradesh,2022,0.4697,8.815714308,0.2233,0.1909,0.3668,0.2541
West Bengal,2018,0.4732,8.659457561,0.0555,0.0591,0.1741,0.4863
Goa,2023,0.5051,6.480634801,0.1776,0.1083,0.1036,0.5699
Telangana,2022,0.5541,5.061826466,0.1132,0.1321,0.691,0.215
Himachal Pradesh,2020,0.6022,8.71327425,0.1207,0.0631,0.2748,0.1853
Bihar,2020,0.4826,6.712736593,0.2154,0.1758,0.5674,0.5913
Tripura,2022,0.5424,8.866619276,0.2285,0.0779,0.2745,0.4329
Karnataka,2023,0.4075,8.854479908,0.1999,0.0481,0.5312,0.1868
Meghalaya,2021,0.4314,8.412037822,0.1926,0.0562,0.2164,0.2554
Mizoram,2023,0.3644,6.177795568,0.1826,0.0477,0.1664,0.3052
Ladakh,2020,0.3698,6.540390914,0.1041,0.104,0.5423,0.4903
Punjab,2023,0.4755,8.404546686,0.2433,0.0949,0.2714,0.3339
Himachal Pradesh,2021,0.451,6.267688021,0.1645,0.089,0.5764,0.5128
Goa,2019,0.3956,5.677970987,0.1413,0.1844,0.4355,0.4767
Rajasthan,2020,0.6037,7.22720505,0.1585,0.0956,0.302,0.1762
Tamil Nadu,2022,0.3786,8.744619097,0.2001,0.1011,0.147,0.3431
Haryana,2018,0.6878,7.784119187,0.0721,0.0753,0.2558,0.3755
Andhra Pradesh,2022,0.6616,7.28024468,0.1011,0.0479,0.1284,0.3946
Chhattisgarh,2021,0.6744,5.388705975,0.1884,0.1953,0.4897,0.502
Jharkhand,2021,0.4581,7.460028907,0.0592,0.1562,0.244,0.1479
Lakshadweep,2020,0.5446,8.9602154,0.221,0.1716,0.2063,0.4591
Lakshadweep,2020,0.4171,5.560336061,0.1715,0.1105,0.3062,0.3117
Punjab,2021,0.6884,7.073318609,0.2365,0.1063,0.3985,0.5368
Jharkhand,2021,0.3782,8.509492288,0.1318,0.04,0.6452,0.501
Karnataka,2022,0.5913,7.963074471,0.1993,0.08,0.4997,0.1176
Lakshadweep,2023,0.54,7.788062964,0.1469,0.1176,0.5909,0.372
Haryana,2018,0.6923,7.809936336,0.2388,0.0754,0.2773,0.5081
Telangana,2019,0.4374,6.437964605,0.2259,0.1708,0.2248,0.1119
Bihar,2021,0.5165,6.174367377,0.0833,0.0534,0.5462,0.4794
Chandigarh,2021,0.526,8.237444622,0.1043,0.1686,0.3622,0.5949
Himachal Pradesh,2019,0.6771,8.240453579,0.0919,0.1231,0.5177,0.1412
Telangana,2018,0.6251,8.468289274,0.1345,0.1816,0.1109,0.4027
Chandigarh,2019,0.4968,8.65296221,0.0627,0.1537,0.607,0.1121
Telangana,2019,0.5417,7.045369595,0.0636,0.1754,0.2599,0.5057
Chhattisgarh,2020,0.542,7.006065179,0.1806,0.0548,0.4121,0.3525
Andaman & Nicobar Islands,2018,0.5571,8.193180716,0.1239,0.0942,0.5664,0.2561
Puducherry,2020,0.4221,7.599855723,0.2254,0.1076,0.1741,0.2267
Jharkhand,2018,0.3744,7.807867509,0.1623,0.1111,0.5636,0.5943
Puducherry,2023,0.4584,8.183170678,0.2171,0.0544,0.6414,0.494
Mizoram,2019,0.3037,8.560021367,0.0602,0.1409,0.404,0.1779
Tamil Nadu,2023,0.3637,6.351980627,0.1823,0.1982,0.4092,0.1526
Telangana,2021,0.3726,6.502331811,0.057,0.0512,0.5251,0.5226
Assam,2018,0.4854,5.375927759,0.2263,0.1206,0.6209,0.2888
Lakshadweep,2021,0.3028,7.313120564,0.1206,0.1715,0.4005,0.1201
Himachal Pradesh,2018,0.3904,5.143769095,0.1643,0.1421,0.1421,0.3628
Mizoram,2018,0.3068,6.862392073,0.2168,0.1556,0.4388,0.3877
Chhattisgarh,2018,0.6346,7.170578539,0.1972,0.0352,0.6312,0.3199
Madhya Pradesh,2018,0.6652,6.146165009,0.1987,0.1245,0.2409,0.4805
Manipur,2018,0.4489,7.363333042,0.0518,0.078,0.1311,0.1349
Himachal Pradesh,2018,0.6056,5.122001,0.1673,0.1846,0.6089,0.3578
Meghalaya,2021,0.3489,5.149392755,0.2303,0.0935,0.5387,0.5995
Nagaland,2020,0.6956,8.290402243,0.1506,0.0744,0.2239,0.2206
Andaman & Nicobar Islands,2021,0.3897,6.440762566,0.1603,0.1945,0.1191,0.2027
Tamil Nadu,2020,0.5313,5.508242051,0.0596,0.0925,0.5909,0.4925
Mizoram,2023,0.6191,7.08897304,0.0644,0.0888,0.1113,0.3801
Himachal Pradesh,2021,0.5175,8.079974212,0.15,0.0714,0.3437,0.3661
Himachal Pradesh,2020,0.58,5.86328411,0.1119,0.1863,0.5124,0.5786
Karnataka,2020,0.3337,7.491561903,0.0655,0.0393,0.6239,0.4621
Chandigarh,2018,0.3576,5.34138986,0.0767,0.0792,0.4786,0.4017
Jammu & Kashmir,2023,0.4477,5.206726885,0.0683,0.1535,0.3065,0.1215
Odisha,2020,0.3902,7.125418526,0.1716,0.1486,0.2941,0.5095
Telangana,2018,0.6952,7.162540486,0.1417,0.0902,0.2127,0.1212
Mizoram,2020,0.4736,7.549719606,0.1998,0.0558,0.3007,0.5412
Uttarakhand,2023,0.3613,7.904365335,0.1625,0.1312,0.1542,0.3277
Chhattisgarh,2022,0.3366,8.903408318,0.0752,0.0814,0.6912,0.4419
West Bengal,2023,0.6877,7.065201393,0.239,0.1835,0.5509,0.3553
Meghalaya,2019,0.3534,6.291825892,0.1792,0.0372,0.5344,0.5808
West Bengal,2018,0.4122,8.180744779,0.1456,0.1067,0.2136,0.1615
Himachal Pradesh,2018,0.5847,6.083329005,0.1359,0.1728,0.193,0.1905
Jharkhand,2019,0.652,6.755885683,0.207,0.0952,0.4962,0.3703
Dadra & Nagar Haveli and Daman & Diu,2023,0.384,5.313825525,0.0631,0.1256,0.4533,0.144
Madhya Pradesh,2018,0.6239,5.101402974,0.2152,0.1198,0.5627,0.4389
Tripura,2022,0.6617,8.850593659,0.1717,0.1477,0.6573,0.2094
Assam,2022,0.5821,8.343920482,0.0719,0.0826,0.4379,0.5769
Sikkim,2023,0.5151,7.783896824,0.1791,0.1921,0.5071,0.374
Dadra & Nagar Haveli and Daman & Diu,2023,0.5287,6.635811778,0.2281,0.1391,0.4761,0.163
Maharashtra,2023,0.4194,5.69317728,0.1382,0.1705,0.5277,0.4433
Manipur,2019,0.633,5.625748171,0.2022,0.0736,0.5908,0.5569
Punjab,2021,0.6376,6.000971593,0.2044,0.1543,0.5266,0.2935
Odisha,2019,0.4657,7.196906659,0.1769,0.0901,0.4582,0.2186
Himachal Pradesh,2020,0.5899,7.858383691,0.1732,0.039,0.4642,0.1336
Haryana,2021,0.6982,7.640789507,0.1172,0.1701,0.4726,0.1509
Nagaland,2022,0.5635,6.119735588,0.0939,0.0944,0.5228,0.1757
Dadra & Nagar Haveli and Daman & Diu,2022,0.4483,8.819461123,0.1219,0.0595,0.5897,0.4961
Meghalaya,2023,0.4532,7.951587667,0.1733,0.0574,0.1285,0.1048
Haryana,2020,0.5841,7.21741621,0.1886,0.112,0.3787,0.1684
Jharkhand,2021,0.3385,7.446882985,0.052,0.1509,0.2857,0.378
Tamil Nadu,2018,0.6003,6.67840025,0.1127,0.1346,0.2679,0.4706
Arunachal Pradesh,2023,0.5026,5.990923958,0.1747,0.0554,0.3181,0.351
Rajasthan,2020,0.5062,6.423890715,0.1576,0.1478,0.1079,0.2409
Dadra & Nagar Haveli and Daman & Diu,2018,0.365,8.031384442,0.2219,0.1252,0.4143,0.3801
Uttar Pradesh,2023,0.4072,5.057573955,0.2379,0.1089,0.5135,0.1307
Tamil Nadu,2020,0.3964,5.464290562,0.1882,0.1172,0.2539,0.2714
Tamil Nadu,2019,0.6312,5.184010568,0.1925,0.1217,0.4392,0.3849
Ladakh,2019,0.5692,5.162915209,0.1204,0.1486,0.1272,0.5225
