State,Year,Population,GDP per Capita (INR),Poverty_rate
Assam,2021,674446,40800,19.79152224
Tamil Nadu,2021,224588,133602,20.40015647
Odisha,2019,1234836,59680,19.95172074
Chandigarh,2022,97003,78478,20.30332637
Mizoram,2021,2053011,185086,20.60499341
Kerala,2019,1360015,41350,19.39833572
Haryana,2022,2548578,171994,20.44849309
Gujarat,2023,788096,95618,19.34427456
Telangana,2020,917838,39304,20.54507322
Gujarat,2019,2837948,77406,19.13660556
Kerala,2019,387462,134186,18.15781569
Haryana,2020,2397296,94925,19.69187
Bihar,2019,1392057,166554,16.41101557
West Bengal,2019,942008,116593,19.31859075
Gujarat,2022,394126,136133,17.31761075
Madhya Pradesh,2019,2794686,114817,20.63369235
Gujarat,2021,101707,48689,21.73860186
Tripura,2019,996984,77780,18.69939791
Nagaland,2018,1180070,249977,19.46844234
Kerala,2020,1869239,217135,20.4355056
Goa,2018,1085811,179092,20.28811695
Kerala,2020,936388,248532,19.03620299
Gujarat,2018,486542,44924,21.09393142
Meghalaya,2020,2519606,229757,17.7122938
Rajasthan,2020,1608274,134292,19.91639888
Arunachal Pradesh,2022,674771,39596,19.63029659
Dadra & Nagar Haveli and Daman & Diu,2023,1232279,178977,18.44727058
Rajasthan,2018,1702595,95131,20.17808355
Mizoram,2021,2070880,133475,20.09496714
Lakshadweep,2022,1696265,243165,20.23812953
Nagaland,2019,1305973,196340,19.60420512
Telangana,2022,2918921,176776,20.32675625
Manipur,2023,2752708,115042,20.55452516
West Bengal,2023,1699379,229330,22.56932604
Arunachal Pradesh,2019,1606518,106272,17.22004427
Maharashtra,2021,1215158,165994,18.16002136
Madhya Pradesh,2023,819565,61186,21.75403068
Manipur,2019,2082355,228153,18.39545858
Assam,2020,2881569,168043,20.73911948
Jammu & Kashmir,2021,367192,123295,20.18716601
Bihar,2021,1945066,92068,22.16686241
Gujarat,2021,1496250,93610,18.31899769
Delhi,2020,2557413,201813,20.72570647
Jammu & Kashmir,2019,1217574,196439,21.1399129
Lakshadweep,2023,2982379,81553,18.21560165
Rajasthan,2022,200635,208394,19.91402416
Tamil Nadu,2021,143476,144560,18.3944349
Punjab,2020,351173,31737,20.21840907
Bihar,2020,1751243,246992,18.43228102
Karnataka,2023,785122,174933,16.32369569
Haryana,2023,2986537,245553,19.42905172
Sikkim,2020,2071363,164330,19.63322496
Jammu & Kashmir,2018,1220407,131799,21.81538798
Madhya Pradesh,2023,2074611,42940,20.59803444
Puducherry,2019,2499205,76105,23.0855275
Ladakh,2019,2066211,158331,19.33969241
Delhi,2022,927933,244992,18.6776795
Puducherry,2018,740288,214681,18.46747868
Chandigarh,2023,1598496,63719,19.43544745
Andhra Pradesh,2023,2372621,58141,17.16515178
Meghalaya,2021,1413517,65294,19.53459963
Maharashtra,2023,1885068,39269,17.22539334
Andhra Pradesh,2019,485684,62371,20.94772398
Himachal Pradesh,2022,1914445,237609,17.19895453
Haryana,2019,2305750,234565,17.56876185
Kerala,2021,2670268,222341,18.00132351
Gujarat,2022,2364552,247060,18.86830162
Arunachal Pradesh,2022,2279655,235675,18.66895226
Meghalaya,2020,1285296,187403,20.82748985
Gujarat,2023,455841,64397,19.49164928
Jharkhand,2022,1109165,87221,20.158273
Uttar Pradesh,2020,102635,50946,23.71419435
Andaman & Nicobar Islands,2020,660441,123616,20.08214578
Haryana,2019,776448,189988,18.99964047
Tamil Nadu,2022,2147953,136538,18.67377718
Jharkhand,2020,419349,229226,18.70357927
Meghalaya,2021,645983,136749,18.1812563
Arunachal Pradesh,2018,913403,123471,19.98195578
Bihar,2023,1305516,72604,19.90433254
Chhattisgarh,2023,1633214,130859,16.61907965
Madhya Pradesh,2020,2306246,31605,19.96285513
Tamil Nadu,2022,1200127,48976,21.39026393
Tripura,2019,381922,50601,19.65033215
Gujarat,2023,323586,76289,18.87066056
Sikkim,2020,2103780,240404,17.0290647
Lakshadweep,2020,188307,118757,16.84508724
Andaman & Nicobar Islands,2022,910966,109233,20.66221802
West Bengal,2023,1783341,131490,19.20515873
Assam,2023,2721252,211572,20.26285816
Ladakh,2019,1957310,211026,20.92194083
Delhi,2023,2280484,226955,20.32533113
Delhi,2019,2358436,191848,18.18631386
Uttarakhand,2023,2816394,241346,19.05391516
Dadra & Nagar Haveli and Daman & Diu,2019,2725820,116089,18.51594578
Andaman & Nicobar Islands,2019,2381499,216005,18.44715975
Jharkhand,2020,696012,92901,20.42836432
Tamil Nadu,2022,2003574,91716,18.55373828
Karnataka,2022,2540272,57564,17.23152306
Goa,2018,2891011,108958,18.66115013
Andaman & Nicobar Islands,2023,1278080,36412,19.73985104
Puducherry,2022,2065935,79086,21.86828457
Maharashtra,2023,260809,201616,18.52204277
Chhattisgarh,2018,2636058,148581,19.84282004
Maharashtra,2019,2425100,157732,19.38625997
Odisha,2020,2563128,162596,21.25378369
Maharashtra,2020,2007021,228767,20.61924884
Kerala,2020,1201404,156613,20.71757951
Sikkim,2020,434903,37244,17.61825601
Meghalaya,2023,1987135,78867,20.24789084
Chhattisgarh,2018,2585232,181379,20.50043833
Jammu & Kashmir,2022,2604293,100825,20.30791794
Tamil Nadu,2018,1838702,56708,20.89769572
Jharkhand,2022,2782463,171355,19.31351473
Ladakh,2023,1525378,40360,18.77523705
Arunachal Pradesh,2018,1875977,226167,16.47860216
Ladakh,2021,2436597,68015,19.33285356
Maharashtra,2019,784172,246597,22.37987712
Rajasthan,2022,1989309,81507,19.07044893
Arunachal Pradesh,2020,2668760,147235,16.56801999
Punjab,2021,2696460,203820,20.14197693
Chhattisgarh,2019,1863924,62441,20.85836955
Bihar,2019,2284805,140155,21.03151813
Andaman & Nicobar Islands,2020,111009,117938,20.24399394
Sikkim,2021,531127,249219,20.05013786
Mizoram,2018,1646963,173788,21.72798677
Nagaland,2023,1330896,91720,18.71447335
Karnataka,2019,492244,89807,18.83291229
Rajasthan,2023,2490395,188957,17.63368627
Odisha,2018,1317403,35057,19.78839493
Maharashtra,2022,930432,234851,21.07266649
Nagaland,2019,2311556,154481,20.11761604
Ladakh,2018,819153,227626,19.78920545
Dadra & Nagar Haveli and Daman & Diu,2022,999014,58000,17.7438786
Punjab,2022,2707303,177776,18.62781148
Odisha,2021,1076281,170319,16.66298374
Dadra & Nagar Haveli and Daman & Diu,2019,2037881,198767,20.63499794
Puducherry,2022,1546823,162773,21.11083474
Dadra & Nagar Haveli and Daman & Diu,2018,2054358,197284,19.9849229
Uttarakhand,2023,2092532,190449,18.11300546
Mizoram,2021,1645350,141813,21.37154853
Jammu & Kashmir,2022,1973921,108946,19.62597269
Tripura,2022,2659624,234446,17.3311803
Andaman & Nicobar Islands,2023,152903,183730,18.28699548
Uttar Pradesh,2023,1032099,108210,19.31881136
Karnataka,2020,2878728,40068,20.33814921
Mizoram,2021,346956,79570,19.51572401
Jammu & Kashmir,2023,644091,101524,17.64046174
Jammu & Kashmir,2020,1877791,55651,21.5334977
Tripura,2023,2519485,137532,19.41030141
Chhattisgarh,2020,1408311,92261,18.61192387
Uttar Pradesh,2022,461373,115481,21.21356559
Andaman & Nicobar Islands,2018,1934175,66373,18.2583446
Kerala,2018,2359608,66483,18.11681955
Himachal Pradesh,2022,2456126,82446,21.84921523
West Bengal,2018,2769220,30296,22.83158748
Goa,2023,1588814,108077,19.02828373
Telangana,2022,1852272,62583,19.41230991
Himachal Pradesh,2020,875782,207295,17.89405565
Bihar,2020,2297175,162379,19.49516287
Tripura,2022,1456819,83450,19.64662682
Karnataka,2023,489358,91692,19.84186253
Meghalaya,2021,2170700,224293,19.72020135
Mizoram,2023,878894,164199,17.77834441
Ladakh,2020,1189391,224894,18.3561769
Punjab,2023,1061214,59086,17.83349675
Himachal Pradesh,2021,1601899,176480,18.81880723
Goa,2019,2487828,217647,18.71069295
Rajasthan,2020,2259375,76936,20.1679773
Tamil Nadu,2022,452641,121549,20.07788165
Haryana,2018,638574,104842,20.93157576
Andhra Pradesh,2022,1110899,141335,17.61707667
Chhattisgarh,2021,2695485,211948,16.8184195
Jharkhand,2021,2796437,65440,20.84678737
Lakshadweep,2020,601872,74783,17.49560146
Lakshadweep,2020,546184,150179,19.57606256
Punjab,2021,2072327,158411,17.92795237
Jharkhand,2021,628110,54042,22.18920743
Karnataka,2022,2703271,163248,20.0044057
Lakshadweep,2023,520897,68886,19.62318564
Haryana,2018,2478271,193244,21.01045083
Telangana,2019,2665880,184468,17.73623078
Bihar,2021,1905546,93918,18.65706401
Chandigarh,2021,2303422,84740,18.57695596
Himachal Pradesh,2019,593898,207718,18.30004976
Telangana,2018,611700,77734,20.20625032
Chandigarh,2019,1881716,203217,19.87839912
Telangana,2019,1740336,62624,21.0645096
Chhattisgarh,2020,1261569,134859,17.16024508
Andaman & Nicobar Islands,2018,289190,38888,19.89192426
Puducherry,2020,730503,79695,18.57207606
Jharkhand,2018,2350269,72222,19.74762282
Puducherry,2023,1945703,229521,22.28566255
Mizoram,2019,1761303,240098,19.62252658
Tamil Nadu,2023,636470,122476,20.69067953
Telangana,2021,2059386,88418,22.10228841
Assam,2018,2053426,235735,20.2971522
Lakshadweep,2021,1441864,222589,18.59490628
Himachal Pradesh,2018,1833611,207597,17.19509731
Mizoram,2018,1937717,189788,19.16607846
Chhattisgarh,2018,2380229,131084,18.8702841
Madhya Pradesh,2018,175849,109823,17.55104311
Manipur,2018,1541341,41549,20.52623584
Himachal Pradesh,2018,1905797,156083,19.48080472
Meghalaya,2021,2961259,233339,20.82353974
Nagaland,2020,2093683,221349,18.73224622
Andaman & Nicobar Islands,2021,702632,95464,19.90630455
Tamil Nadu,2020,318602,160993,18.07633694
Mizoram,2023,1925530,242204,20.03135836
Himachal Pradesh,2021,1615615,89546,19.8659775
Himachal Pradesh,2020,1681734,116694,18.05275175
Karnataka,2020,2169844,154954,19.59274712
Chandigarh,2018,87570,249049,19.0274482
Jammu & Kashmir,2023,275075,102746,19.74396011
Odisha,2020,807600,211299,20.53823872
Telangana,2018,589203,30909,18.33246532
Mizoram,2020,700332,219103,17.97896684
Uttarakhand,2023,2955188,119670,20.67057287
Chhattisgarh,2022,1188882,136984,18.83704926
West Bengal,2023,2567626,122889,20.03605126
Meghalaya,2019,1810399,63757,16.69911872
West Bengal,2018,354603,146518,23.08416111
Himachal Pradesh,2018,1517172,180245,18.60013496
Jharkhand,2019,600242,216093,20.74340155
Dadra & Nagar Haveli and Daman & Diu,2023,1407085,80185,19.24705618
Madhya Pradesh,2018,2578588,90610,19.8366703
Tripura,2022,1469600,130326,21.96608041
Assam,2022,2893236,97843,21.44723663
Sikkim,2023,1970773,147265,19.30776018
Dadra & Nagar Haveli and Daman & Diu,2023,473359,185581,19.14959111
Maharashtra,2023,1752417,56950,21.1207706
Manipur,2019,1780841,225220,21.62925325
Punjab,2021,762932,246951,18.90244302
Odisha,2019,1927887,218337,21.51991913
Himachal Pradesh,2020,2001144,161642,19.17386373
Haryana,2021,2586655,116724,21.13068423
Nagaland,2022,2993486,35577,21.39840858
Dadra & Nagar Haveli and Daman & Diu,2022,2658182,216113,18.79735164
Meghalaya,2023,2305913,172226,18.69919301
Haryana,2020,2064017,36476,21.80395464
Jharkhand,2021,1431173,134135,18.91543303
Tamil Nadu,2018,2283414,100199,18.54732881
Arunachal Pradesh,2023,1362743,149654,18.34622004
Rajasthan,2020,678758,189277,18.45572224
Dadra & Nagar Haveli and Daman & Diu,2018,569382,74406,21.09697149
Uttar Pradesh,2023,953057,207788,19.29678568
Tamil Nadu,2020,2941196,81644,20.57068455
Tamil Nadu,2019,1474932,30486,20.45681018
Ladakh,2019,779672,45021,18.90528574
Jharkhand,2021,2150510,118535,20.77026623
Meghalaya,2018,1992517,187699,20.77408397
Kerala,2021,1266053,45989,20.8653147
Meghalaya,2020,1848432,183857,19.65513383
Delhi,2020,224898,117985,18.76937285
Kerala,2019,1852502,181818,19.34728904
Meghalaya,2018,2073969,240625,17.64248967
Karnataka,2023,2625849,121128,19.62180134
Sikkim,2021,339372,44429,17.77635624
Madhya Pradesh,2020,945596,76216,17.71823356
Jharkhand,2022,2126775,195714,18.98462209
Kerala,2022,1565554,41781,19.07808206
Manipur,2020,1484269,216493,19.02566007
West Bengal,2019,1385119,236232,18.83358085
Assam,2023,2318185,59118,19.90501013
Bihar,2021,1976711,51312,21.06617607
Punjab,2022,2877503,151211,19.1264953
Madhya Pradesh,2019,2995081,235096,18.63059668
Chhattisgarh,2021,840645,171365,21.04336342
Sikkim,2023,1919085,160429,19.52825038
Haryana,2020,705129,222816,18.36317284
Uttarakhand,2019,2061562,30209,20.33262997
Punjab,2019,447597,180630,19.33945206
Delhi,2020,2619395,217223,18.34022626
Dadra & Nagar Haveli and Daman & Diu,2022,958840,48830,18.6746515
Jharkhand,2020,2071835,43255,19.23241288
Jharkhand,2019,1767534,141362,20.49691517
Bihar,2018,2615618,115376,18.80046226
Himachal Pradesh,2022,2584803,165601,19.53776621
Jammu & Kashmir,2022,1387900,164760,20.14165773
Telangana,2018,1483331,100658,19.55177267
Bihar,2021,1230788,185914,20.24805141
Uttar Pradesh,2022,103010,68165,17.69287568
Mizoram,2018,470661,228110,18.58133321
Manipur,2021,1680060,145600,19.38473814
Bihar,2019,921522,50219,19.80963276
Tamil Nadu,2022,805398,61385,17.56009195
West Bengal,2020,2509150,220208,20.75383442
Gujarat,2020,2645104,76220,18.55094183
Ladakh,2019,2365372,135153,19.82079075
Haryana,2022,1294199,201244,19.33397156
Himachal Pradesh,2023,2297680,235867,19.98321139
Karnataka,2018,529809,58992,22.99394981
Jharkhand,2019,2163213,219298,17.39033901
Meghalaya,2020,1781530,145819,18.30137817
Telangana,2023,1966726,66558,20.3340218
Lakshadweep,2019,1459849,73923,18.66503052
Chandigarh,2021,2114284,36574,21.57217117
Odisha,2018,2645658,167934,20.61265435
Punjab,2020,2244621,76950,20.85230698
Punjab,2018,1952871,127927,19.56814029
Sikkim,2022,539858,40514,21.78890606
Tripura,2020,971806,183463,17.75042265
Madhya Pradesh,2021,80063,99453,20.17785601
Meghalaya,2023,2355289,85390,19.20871199
Odisha,2019,2992050,33981,21.31525011
Meghalaya,2018,400036,249631,16.26884854
Odisha,2019,2176697,109569,19.65535484
Dadra & Nagar Haveli and Daman & Diu,2021,2034768,58176,20.32812373
Lakshadweep,2023,1710458,162152,18.23542091
Himachal Pradesh,2021,2504698,60676,19.20756225
Kerala,2021,2224758,153769,19.32564364
Sikkim,2018,152951,138306,21.00801629
West Bengal,2022,2769824,228691,17.76727617
Kerala,2020,691621,185666,17.93027323
Arunachal Pradesh,2021,1777408,210302,20.8209564
Andhra Pradesh,2018,1010612,227990,18.67642129
Gujarat,2020,986800,121829,18.98134055
Odisha,2022,909734,124968,20.41244597
Uttar Pradesh,2019,203329,130588,19.06575978
Bihar,2022,52352,163004,20.60154216
Himachal Pradesh,2022,847583,232166,17.72425819
Ladakh,2019,1390522,120331,19.64075428
Manipur,2018,1168844,156218,20.5243894
Kerala,2023,208477,66386,19.42259191
Puducherry,2023,2704965,241474,19.97490674
Lakshadweep,2021,2057415,235523,19.0227638
Dadra & Nagar Haveli and Daman & Diu,2019,1082018,67317,22.70973354
Andhra Pradesh,2021,2372312,213321,21.15095233
Bihar,2021,1084586,41190,18.33059605
Jammu & Kashmir,2018,1999428,36050,20.79096905
Puducherry,2020,211298,234222,17.69902089
Chandigarh,2023,1428314,217973,19.24206854
Uttarakhand,2022,1131781,139084,19.73285173
Telangana,2022,242593,108315,18.62794063
Karnataka,2022,376284,137325,21.22611348
Meghalaya,2020,2818240,168069,19.45527138
Maharashtra,2020,139360,92287,19.45907024
Himachal Pradesh,2020,1490351,93909,18.82718293
Jammu & Kashmir,2023,489844,249700,19.10913111
Himachal Pradesh,2019,2869182,237546,19.48270022
Ladakh,2022,1994741,32365,20.14431662
Punjab,2023,699179,62376,16.27989385
Andhra Pradesh,2023,284386,111571,19.53735971
Assam,2022,2612605,163669,17.29492232
Kerala,2022,1526285,205220,18.98974669
Rajasthan,2023,2255927,55032,18.29049915
Nagaland,2022,238674,55523,18.0056387
Uttarakhand,2020,266194,124786,20.76172142
Odisha,2022,511122,180737,18.99903938
Kerala,2021,1499589,80013,19.20372675
Uttarakhand,2022,2774098,151123,20.18760614
Chandigarh,2021,1449433,32459,19.7790337
Mizoram,2019,1083879,132413,22.07812256
Madhya Pradesh,2022,1028582,86759,19.16854181
Gujarat,2023,1995049,158467,20.23822229
Lakshadweep,2023,783082,32682,21.46793954
Lakshadweep,2022,890172,226945,20.87430968
Rajasthan,2019,2557495,244560,18.08456813
Manipur,2022,258606,30882,19.86883396
Arunachal Pradesh,2018,566595,169401,21.4255804
Telangana,2019,1612607,173588,20.62686748
Arunachal Pradesh,2019,1576322,53284,21.36347667
Madhya Pradesh,2021,2983794,155629,17.50765723
Goa,2019,1371448,125102,21.94638236
Andhra Pradesh,2018,2797143,86549,19.00767823
Andaman & Nicobar Islands,2022,2627153,30015,20.51888914
Lakshadweep,2023,2070991,236518,18.94503733
Himachal Pradesh,2023,2671158,158308,18.13833694
Manipur,2022,2687174,203501,17.20805925
Jammu & Kashmir,2020,1054735,207228,16.70949003
Chandigarh,2018,1034131,186844,19.50121584
Uttar Pradesh,2021,97361,88847,17.53797782
Tripura,2018,993652,61533,18.37686918
Uttarakhand,2021,1079922,84796,19.156101
Dadra & Nagar Haveli and Daman & Diu,2018,467740,39745,16.74685419
Mizoram,2020,2372018,248390,20.20595174
Nagaland,2021,1039280,162965,16.3398009
Tripura,2021,2552370,115820,19.77560445
Andaman & Nicobar Islands,2023,2688681,76211,19.80736669
Maharashtra,2021,270935,83634,20.31347874
Telangana,2020,2803915,244418,19.01843563
Puducherry,2023,2633801,100202,22.24260677
Haryana,2021,2003341,217305,19.5577287
Mizoram,2020,210185,114363,20.82992853
Karnataka,2020,921158,188458,18.68639843
Gujarat,2021,1947951,125667,19.48466189
Andaman & Nicobar Islands,2018,1133685,43919,22.37262077
Manipur,2020,498013,219167,18.77591699
Andhra Pradesh,2020,1861840,182747,19.8644419
Andhra Pradesh,2018,2164785,47014,20.9417415
Karnataka,2022,605710,146590,18.60735578
Himachal Pradesh,2023,1222304,228640,16.51683108
Ladakh,2021,2865263,142684,20.03385264
West Bengal,2022,1709848,137983,20.88996364
Mizoram,2020,2908210,210775,17.54674003
Punjab,2022,657317,76228,20.72690882
West Bengal,2021,2841177,235582,19.80467098
Goa,2023,2277039,63919,17.01329381
Punjab,2023,1993508,220346,18.02644074
Nagaland,2020,1879074,207274,18.28656698
Andhra Pradesh,2021,2874658,233038,18.67802774
Tripura,2021,882230,107271,18.94699324
Dadra & Nagar Haveli and Daman & Diu,2020,1412617,35004,19.22433591
Uttarakhand,2023,1678661,204626,21.36613098
Jammu & Kashmir,2019,687547,130804,19.38500338
Uttar Pradesh,2018,731376,173008,18.30995746
Rajasthan,2021,2185896,146082,19.19808014
Meghalaya,2021,789127,69619,20.71100194
Telangana,2023,2561902,121270,19.60756801
Nagaland,2018,523919,202517,18.97402473
Jharkhand,2018,2466826,207871,18.12600213
Puducherry,2019,1556440,85030,19.20695007
West Bengal,2018,257836,162915,18.81012786
Haryana,2022,147406,79298,20.40767707
Himachal Pradesh,2021,2820574,46999,18.56972435
Andhra Pradesh,2019,1300956,209316,19.51950336
Jharkhand,2018,1438977,107963,21.64561222
Manipur,2022,166220,117173,20.36084855
Arunachal Pradesh,2023,76806,206072,18.42666166
Himachal Pradesh,2018,66279,229737,17.47888437
Assam,2022,335711,65292,22.06234306
Uttar Pradesh,2018,1440179,80192,18.66814107
Arunachal Pradesh,2019,1690920,164153,20.69332349
Mizoram,2022,435105,134672,20.56504462
Goa,2021,2493336,51644,19.57361747
Bihar,2018,1037073,68211,19.90640238
Odisha,2018,1651582,198913,17.09441225
Odisha,2023,208253,175457,19.49460147
Assam,2018,616088,126044,20.04700301
Mizoram,2020,392424,180939,17.77869952
Arunachal Pradesh,2021,1367630,218785,19.03317984
Uttar Pradesh,2018,512326,47790,20.41478012
Uttarakhand,2021,2529129,99002,20.25370449
Puducherry,2018,1205733,30908,20.18425845
Tripura,2018,103024,170749,17.08382256
Madhya Pradesh,2021,273034,200939,18.91388128
Chandigarh,2023,1287087,205487,19.49191906
Ladakh,2022,1104739,224159,20.35934716
Rajasthan,2019,1703172,76389,19.03977746
Arunachal Pradesh,2018,1388486,98099,22.54291358
Assam,2020,2046170,248561,16.23685512
Manipur,2019,2669972,30534,19.15972521
Goa,2020,1444316,96732,19.97907503
Haryana,2022,2494975,155829,19.30664537
Jharkhand,2023,809401,180673,17.94053941
Manipur,2021,2292365,170416,20.16698184
Nagaland,2020,2991276,67500,20.57127502
Mizoram,2023,2309555,207170,19.24511296
Goa,2020,1294992,194912,20.04710936
Bihar,2020,2134508,108002,19.35712979
Delhi,2022,1040391,85063,17.55764171
Sikkim,2019,1736090,129250,18.42614213
Goa,2018,99976,193324,19.19517828
Nagaland,2020,2524370,129273,20.19628149
Uttarakhand,2021,712858,132826,19.78129831
Uttar Pradesh,2018,196192,184219,19.93890295
Odisha,2023,2000660,50608,19.4493794
Chandigarh,2023,861730,183263,19.36611246
Uttarakhand,2020,1408293,106120,20.19611063
Goa,2021,2397693,66081,19.46012932
Bihar,2023,1286530,231465,17.51801954
Rajasthan,2018,2268222,88759,18.48796293
Assam,2020,2405787,104071,20.95382935
Uttar Pradesh,2021,856479,237167,20.77332196
Meghalaya,2019,1459761,134504,21.27190153
Tripura,2019,1962878,111371,20.07266903
Maharashtra,2018,2755421,83639,18.47357339
Chhattisgarh,2021,2529888,123635,19.85368108
Gujarat,2020,1584263,182297,21.14490704
Himachal Pradesh,2019,2319409,160956,19.99735953
Tripura,2023,1147034,86221,19.25952602
Sikkim,2021,491168,194909,20.06657825
Jharkhand,2022,2066328,105033,18.06920278
Assam,2019,1790534,202886,18.50630911
Dadra & Nagar Haveli and Daman & Diu,2020,2383291,138957,17.85829853
Punjab,2020,2186491,186829,19.62580678
Uttar Pradesh,2023,1642023,152366,19.98921339
Tripura,2021,1274322,81248,19.39449487
Uttarakhand,2020,2552656,76978,18.74547178
Uttarakhand,2022,1743802,195051,19.03811976
Chandigarh,2021,165042,157922,18.62101186
Himachal Pradesh,2020,256903,91799,18.83729212
Jammu & Kashmir,2019,2733552,192182,19.67365919
Karnataka,2022,958017,89754,18.84224718
Gujarat,2019,1411236,221758,17.21932277
Uttarakhand,2019,2271132,194342,17.22446138
Tamil Nadu,2022,1566925,186629,17.33648842
Himachal Pradesh,2023,453551,184813,19.63922089
Ladakh,2022,1993571,166746,19.74863753
Andaman & Nicobar Islands,2020,126054,95363,19.88843008
Gujarat,2021,817286,163663,20.41374238
Tripura,2023,194938,134504,20.99967949
Tripura,2018,2537065,186359,18.419012
Arunachal Pradesh,2023,2295239,211129,19.61605359
Assam,2022,1274744,233058,17.20114562
Nagaland,2018,1251988,94994,21.36539705
Andhra Pradesh,2021,552420,184249,17.37071826
Tripura,2023,1420092,69477,19.15374207
Madhya Pradesh,2022,678177,33159,19.12494857
Madhya Pradesh,2019,897405,163959,17.07262853
Chandigarh,2019,2536179,99445,19.53255323
Odisha,2023,2106547,211787,19.11584994
Uttar Pradesh,2019,1868249,153351,18.85421268
Assam,2023,179350,194437,16.91431043
Assam,2018,2165810,51253,22.61719341
Nagaland,2023,2350457,74678,20.52344927
Assam,2022,1240631,126468,23.02204204
Madhya Pradesh,2019,399115,122759,18.87195299
Rajasthan,2018,307137,68931,20.97682887
Telangana,2018,2507717,177937,20.19664266
Madhya Pradesh,2022,1353692,95066,19.16541156
Odisha,2020,1521617,66839,21.56696163
Delhi,2022,2839850,195355,18.20441303
Kerala,2020,721986,116005,19.17768568
Lakshadweep,2021,1887474,206169,14.30492245
