stn_code,monitoring_location,year,type_water_body,state_name,temperature_min,temperature_max,dissolved_min,dissolved_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_mg_min,bod_mgl_max,nitraten_mgl_min,nitraten_mgl_max,fecal_coliform_mpn100ml_min,fecal_coliform_mpn100ml_max
STN0192,River,2008,Freshwater,StateA,18.88532978,34.85413042,4.968632059,5.667399862,6.931753719,7.754636108,125.9005283,268.913717,1.813609602,5.532636976,2.915651095,9.003128362,62.74062495,801.138654
STN0444,Lake,2017,Marine,StateB,9.484284333,28.50986669,4.405699831,5.403007569,6.397015041,8.928156833,,160.3568859,1.656466211,4.452061718,,13.11866124,127.1290644,953.0675142
STN0277,River,2001,Brackish,StateC,17.24085302,26.91869985,1.834042057,8.639696535,6.087092767,7.178579049,101.3854464,221.1382531,1.907979822,4.542286328,1.824112351,,71.19155469,
,Reservoir,2004,Freshwater,,16.89098797,,4.722380859,7.482305762,6.617066516,8.374038533,100.8890556,234.1017442,,3.925404844,3.20482764,11.4937882,29.70135633,490.7231456
,Pond,2004,Freshwater,StateC,6.382009465,39.75299127,1.465465592,7.184253513,6.113838393,7.987628081,86.92807702,244.2639685,1.252004056,4.719126602,2.330907956,11.68876531,119.2934151,950.544938
,,2005,Marine,StateD,16.57830948,20.80218383,,8.647541143,,7.775297611,143.2924863,,1.392838432,3.975633589,0.949680682,12.9865578,162.8767841,420.453421
STN0022,Canal,2018,Brackish,StateC,0.740152694,37.34062992,,8.827564495,,8.265423757,132.750632,187.9908575,2.902889651,3.117808243,,14.32752939,76.42469889,465.7380176
STN0253,River,2007,Brackish,StateB,11.92539757,31.57350817,4.511897282,,6.874222525,8.407714183,,151.4968165,1.350983255,,,5.201378489,26.45374302,760.6467344
STN0236,River,2015,Marine,StateD,4.600176746,28.77230838,4.47222676,8.051125747,6.49354658,7.008726539,121.4326636,258.5165494,2.135454636,3.01913713,1.79310791,6.537837055,39.33763946,812.2530396
STN0345,Canal,2012,Marine,StateB,2.411337716,34.50515321,4.2237016,5.676770411,6.702258766,7.333906177,,230.3484899,2.158628933,5.935064361,4.55669595,13.86171294,47.49666103,943.5227871
STN0049,Canal,2000,Brackish,StateA,1.539064033,29.73337883,4.160121745,8.75687543,6.992816839,8.426092101,142.0994521,,1.979248924,,0.104670589,9.585185622,59.9795186,
STN0475,Canal,2021,Freshwater,StateA,,37.46846476,2.218716556,8.284775781,6.13148912,8.332770827,,273.2082544,,4.185465892,1.578865756,10.64590639,128.5590141,838.3984282
STN0059,Reservoir,2019,Brackish,StateA,6.797499275,38.01403728,1.323677132,9.783073105,6.274731526,8.93209501,122.8981062,276.4989252,1.459653452,5.185112563,0.284406989,,120.1890969,790.8368427
STN0170,River,2016,Marine,,14.49533543,,2.611920715,5.344790082,6.394576076,,136.1690904,222.764199,2.105324536,4.037418295,3.832636581,11.79066604,,251.035645
STN0476,Reservoir,2006,Freshwater,StateB,1.307126816,25.53655594,1.69409806,5.285273606,6.421828179,8.901545415,77.40715893,,1.74434651,5.013279471,3.510537271,14.31740403,72.50039691,509.778513
STN0188,Canal,2024,Freshwater,StateD,6.305806757,31.84700657,3.779804356,6.410935373,6.411021075,8.405081003,,268.7337304,2.323334519,5.416290129,1.656761094,14.96949417,164.7995304,426.2123656
STN0464,River,2012,,StateD,10.78982585,38.24726691,,6.308528419,6.907611003,7.596104417,69.5240603,217.694117,1.282447087,5.840268734,3.378314511,,40.81753223,443.5923395
STN0271,Reservoir,2003,Marine,StateC,15.8144633,24.21324378,4.902440803,6.234893995,6.714032644,7.210729845,84.53419522,177.5163295,2.141754834,4.200636828,1.979686131,,,986.3575036
STN0190,Reservoir,2003,Marine,StateB,6.375050059,32.45933167,3.563888309,9.531272903,6.607905214,8.563647727,83.56104543,278.2461029,1.370540711,5.349893949,3.781268957,13.79752402,160.1877443,
STN0446,Canal,2005,Brackish,StateA,12.51782753,32.6312044,4.289922255,,6.309372718,,147.8525468,282.3839815,1.557286126,3.797785352,2.270918314,5.492209145,36.03172955,774.1409262
STN0175,River,2018,Brackish,StateB,17.71955496,34.66226045,1.530098691,6.359748631,6.823790384,7.096372025,135.6537224,219.9464634,1.437419601,5.970996911,,7.310808529,21.97262275,
,Canal,2011,Freshwater,,12.31726376,22.6313537,4.448057929,8.796991312,6.955060511,7.720100932,120.1169862,161.3549591,1.36567556,3.077308796,4.673649577,13.97385717,176.7367935,501.761426
STN0051,River,2021,Marine,,4.659189495,34.31649929,4.691028762,7.248699212,6.821198283,8.913599631,122.7056762,208.1739135,2.651421903,4.81058642,1.254395499,7.561915144,68.58593255,841.4721348
STN0364,Pond,2006,Freshwater,StateB,0.488015631,38.18065041,2.948247675,8.883552785,6.001565105,8.000802291,106.2072794,270.5306489,1.571415135,4.978517945,0.6022367,7.206510596,,547.6247706
STN0055,Lake,2009,Freshwater,StateB,17.40197748,23.59366218,3.425011751,5.326830788,6.63640137,7.865458272,,285.2661043,2.854247564,5.064136671,2.922715566,6.381252931,5.069720853,895.6269375
STN0244,,2018,Freshwater,StateB,0.425388217,24.7508665,4.059239204,7.437855968,6.051135381,7.91539921,99.62587529,180.5209114,,3.361162736,4.846609061,13.59111758,138.0093777,
STN0320,Lake,2006,Freshwater,StateD,17.49403345,39.42790188,,5.168068001,6.25760722,7.417765448,88.05177099,160.0460418,2.14252094,5.81558935,1.889196069,10.00058259,63.22026231,
,Canal,,Marine,StateA,10.57874268,23.61953905,3.010264306,5.313266017,6.0595247,7.737414342,66.30353369,281.602568,,3.543549837,,11.74893203,,375.0173667
STN0485,Pond,2012,Freshwater,StateB,18.78135397,37.08770187,2.594652111,9.532187267,6.603795453,,128.6205652,208.4107408,1.749096487,4.86826021,1.696526337,7.390663841,121.9625523,460.9764056
STN0307,River,2012,Marine,StateB,15.97566472,29.84555713,1.585495969,5.696226856,6.686589913,,123.4443932,231.2641446,2.595464527,3.668028237,2.529658272,12.58040421,48.16076321,804.9537873
STN0135,Reservoir,2017,Marine,StateB,19.95868221,24.94462149,2.470137689,7.662103411,6.114487638,8.535135257,88.43550385,295.2098718,1.734781457,3.921649251,0.809615033,12.60005545,77.36144841,515.0041133
,River,2019,Brackish,StateC,7.014236309,37.41499803,1.272689238,7.055478013,6.383838883,7.833008864,52.5193414,159.9847092,1.174034437,4.639375625,3.29051109,8.125980249,16.11616246,686.5691014
,,2007,,StateC,15.34376578,28.9061051,1.103247628,6.736716631,6.456236509,8.644359774,133.8997328,247.2477011,2.113569822,4.251580256,4.988746945,,29.43265022,555.6588009
STN0167,River,,Brackish,StateD,8.038618272,30.29634708,1.540665157,9.499166728,,8.700696002,51.14179835,161.1158134,2.690241703,3.480676803,2.25869738,7.096902774,59.5954471,793.8959497
,,2006,Marine,StateA,,27.18466739,4.852460446,5.109116984,,7.423988109,120.369978,206.3203393,2.591852774,3.512809207,1.773642784,14.76561023,,382.6650019
STN0388,Reservoir,2000,Marine,StateD,12.55010926,31.85901703,3.198118144,8.318948431,6.41894779,8.314706964,147.025711,270.5721818,1.35024628,4.254434364,2.003520834,11.45602577,,246.7663898
STN0089,Canal,2002,Marine,StateA,17.47354228,23.27047745,4.863288645,9.816972171,6.751178048,7.944563608,93.76613281,215.0208349,2.345529229,,0.575730892,14.34543881,1.209408637,439.943518
STN0316,River,2012,,StateC,19.68166938,27.82163073,2.729991513,,6.071007665,8.760313476,73.4973405,,1.441008527,5.693893941,,8.033855436,96.77204377,579.4469319
STN0014,River,2024,Brackish,StateC,,39.38824645,2.247264532,9.68411231,6.080180014,7.431481358,120.487101,233.8588927,1.436415069,3.252382987,2.074128278,12.81890913,24.64949163,334.4160418
,Reservoir,2016,Freshwater,StateC,,25.16266865,3.024567451,5.261289396,6.354771292,8.355626401,131.7128142,198.1743229,2.748143547,4.179311723,1.936372057,12.65858644,61.5358179,483.8378317
STN0265,Canal,2024,Brackish,,8.427140046,33.13473329,2.758046755,7.093966595,6.941725712,8.215504245,104.6430316,183.0166989,1.499337905,3.300736691,3.298451365,11.91655652,185.211912,
STN0346,Canal,2023,Brackish,StateB,14.75164603,26.50380128,1.422658737,6.300788955,6.668572647,7.590602955,146.7035275,202.5780801,,3.049777442,2.210167105,14.65638975,,245.913475
STN0053,Pond,2000,Brackish,StateB,4.775542915,35.46946251,3.563305259,8.654104825,6.678669957,7.273201807,55.16687217,205.8799911,1.001306782,4.985156048,3.241167344,8.935553361,,666.6457985
STN0386,Canal,,Brackish,StateC,2.209482263,22.61747321,1.86415273,9.906485452,6.361919991,8.303279521,100.4795598,160.3070517,2.741338068,4.807348326,,6.307173236,41.1588754,907.4747424
STN0340,Canal,2020,Freshwater,StateB,7.092443153,39.3964209,3.47835182,6.282650312,6.593660791,8.477194916,121.8453947,205.4361299,2.585189626,3.489057341,,11.71708859,148.3132217,321.3943304
STN0092,Canal,2005,Brackish,StateB,,29.07579083,3.60080437,8.270873007,6.010131184,7.631254688,136.2640471,219.635778,2.25465787,3.701438499,4.702519764,12.293098,109.335453,678.2464107
STN0367,Lake,,Marine,StateD,5.926162409,24.72100927,1.608099413,5.990488164,6.636096046,8.289665208,67.92556119,258.4106628,2.500531528,3.071123261,3.243826931,10.75060573,176.8957455,731.7913639
STN0444,Pond,2012,Marine,,4.672155021,21.46993495,1.245398508,7.826651273,6.913286948,7.790261815,130.0003482,248.5094227,1.304097135,5.504841617,,,110.7986511,535.4677443
STN0455,River,2012,Brackish,StateC,0.841863793,23.3951581,4.123046344,7.319662433,6.612573468,8.426413767,105.2707076,256.3148483,1.916647189,5.924071788,0.757161572,,106.9118438,760.8780699
,Reservoir,,Brackish,StateC,,30.39547897,2.839201695,9.860026648,6.873698593,,89.6553682,151.2545523,1.702438775,3.40637861,2.387080947,8.121897366,39.09160007,528.5852348
STN0264,River,2020,Marine,StateD,19.75444779,26.74006353,1.232655182,8.042636363,,8.780430005,,,,3.694425641,3.00903367,9.274665282,33.24587241,603.7098304
STN0431,Pond,2015,Marine,StateD,8.555462675,36.57766732,,6.74753186,6.120558416,7.574819193,136.5295759,249.2526433,1.97226097,5.605228572,2.908683237,11.45218576,183.2978302,205.8824356
STN0035,Reservoir,2021,,StateB,7.686532943,28.61775047,1.231122244,5.570478924,6.902453307,7.735571976,65.72732082,222.5984052,2.841479301,,2.007308895,12.45214743,65.56763977,753.3760913
STN0206,Pond,2020,,StateC,13.59294565,24.97428545,3.780140915,5.756234144,6.066443844,7.116183904,80.97878592,150.7970214,1.080118238,4.258882148,1.690422047,7.322246909,74.41645099,729.0741432
STN0081,Canal,,Marine,StateA,,32.34289973,4.934715701,6.12658465,6.533967473,7.223024425,79.0045532,270.6741964,1.582921827,,0.634120113,9.053253606,151.9647317,230.7207019
STN0420,Reservoir,2004,Brackish,StateD,18.99922368,34.13554434,,6.254833307,6.142137124,8.031723805,,265.921436,1.415081872,3.118175501,1.958712253,7.69161571,67.76469648,494.6000859
STN0050,Canal,2003,Marine,,15.72690029,23.34083816,,9.253080289,6.011706611,7.535185353,117.2702994,232.2628744,1.476293307,4.721849598,,6.986316139,190.4124893,983.2254726
STN0360,River,2002,,StateA,1.788220046,,1.485539758,7.806113941,6.42203426,8.670960451,129.6681397,,,4.178685327,3.671828382,12.8338722,147.5855538,536.5892501
STN0388,River,2018,Marine,StateC,8.351615516,20.73342854,2.21310059,7.616954557,6.295040708,7.029386777,75.04678988,264.9772574,1.936138108,3.085957283,1.044154677,14.09252694,119.4858485,601.5563241
STN0002,Reservoir,2019,,StateC,17.58236615,34.7280403,1.404183244,5.573844359,,7.758188097,112.48741,237.5570382,1.932598826,4.749757177,0.292826526,,176.1790321,927.9441265
STN0390,Reservoir,2024,Brackish,StateD,18.89464045,33.27609055,3.768645367,9.300698467,6.577199887,7.674691094,107.1745983,267.2939966,2.521151285,,2.761830689,12.51278924,9.92118167,773.8095007
STN0054,Pond,2017,Marine,StateC,9.348030225,29.49261751,1.249167193,8.614071516,6.043739072,7.038655262,133.2830377,262.7620489,1.308984408,5.362115874,2.976148664,13.96995289,51.41253844,665.6561049
STN0106,Pond,2014,,StateC,12.26822778,36.88340898,3.037688513,,6.123003295,,140.608706,270.4503108,1.974530708,3.919298468,,13.46124211,93.00726684,838.2437451
STN0260,Canal,2008,Freshwater,StateC,3.340678922,36.11340306,4.986787415,,,7.82728535,51.21567715,227.70121,1.859970428,3.120774009,2.884908062,6.828133885,45.39570789,891.4930132
STN0310,Reservoir,2016,Freshwater,StateA,19.82337252,31.70708729,4.255881078,,6.343167353,7.985729169,117.4019919,171.0486777,2.193821381,4.765056663,1.727404269,14.56291882,148.7810375,565.5104574
STN0477,River,2013,Marine,StateD,4.633434028,37.36542561,3.460877753,5.408626729,6.729173488,7.808579495,55.18357991,250.673621,,4.193053243,4.015059408,8.766764404,183.8416062,580.0866919
STN0191,Pond,2014,Marine,StateB,18.85463548,,2.225014483,7.291503208,6.652291649,8.061875357,104.8858665,243.0710678,2.538897788,5.92140124,2.701394466,8.392406612,84.75402399,508.8407485
STN0402,Pond,2000,Marine,StateA,12.99293298,22.23839239,3.495583345,7.423481436,6.845604363,8.19026335,78.7632729,,1.795731406,4.632595988,0.396401423,5.624313273,68.42652002,973.364912
STN0218,River,2020,Brackish,StateC,,,3.108165856,5.828872701,6.692492827,7.019847642,80.67765995,175.4821509,2.655106105,3.825717543,2.829252802,,192.3101464,
STN0044,Pond,2021,Freshwater,StateA,10.25377022,21.14173712,2.704333536,9.728490735,6.429931077,7.928190319,85.29585035,179.24628,,,4.540092727,6.090136156,,266.578453
STN0162,Canal,2021,,StateC,4.613396234,30.62339056,1.522841507,9.249876857,6.672966622,8.926998482,112.1292449,283.5614276,1.060927373,,1.981563127,7.485398209,97.80968009,890.3676987
,Reservoir,2002,Brackish,StateC,3.53056064,38.73211385,4.546416861,8.345111687,6.275381174,8.03806456,83.40499657,262.4966698,1.408896745,5.712729874,1.481629009,8.169426218,70.32997447,584.4479527
STN0446,River,2015,Freshwater,StateA,4.409724181,20.78687081,2.799138595,7.311477805,6.306313499,8.355084535,,286.2342733,1.680823112,4.124165912,0.717347285,13.08826323,181.9096946,255.0031251
STN0484,Reservoir,,Marine,StateD,,22.44219828,1.778490047,7.058827708,6.78898516,7.623727716,90.45273856,263.8072982,2.021161515,4.649605688,0.75722761,13.7548865,113.7910967,639.7738041
STN0270,Pond,2024,Marine,StateC,15.59168947,29.04398057,2.471037404,8.254867336,6.446419516,8.547982756,56.83532003,239.5732959,2.230258281,3.151719311,,,152.4349174,533.7314232
STN0351,Pond,2010,Marine,StateD,7.002505183,38.67750035,2.65651901,7.727159347,6.798380341,,128.3759842,248.1199106,,4.278363714,2.978399121,13.58698121,162.3613437,902.1995239
STN0304,River,2011,Freshwater,StateB,1.156853531,26.3231221,4.310151582,5.311365529,6.822422374,8.042592095,78.57583246,283.3691886,2.019708019,5.497090619,0.403077026,13.57230937,68.36980838,363.1956829
STN0271,Canal,2009,Marine,StateC,19.3820526,30.14469617,,7.562513244,6.857562338,,93.27668796,236.8210132,2.002551289,5.416946416,4.697842945,12.6465095,86.73886626,861.1716876
STN0456,Lake,2015,Brackish,StateD,17.6757177,20.83145718,4.077219575,9.032018086,6.916635236,7.25110043,118.5443883,244.8586986,1.10048602,3.672955677,3.775668087,6.46695114,169.6943549,646.1509529
STN0462,River,2007,Brackish,StateD,18.55504566,22.96686402,1.044125058,7.296199388,6.430985221,7.03389533,83.24561571,173.4715074,1.069823105,3.678237213,2.933119591,,72.65107034,243.6882426
STN0215,Lake,2005,Freshwater,StateB,19.89815645,39.73260246,2.664615993,5.259782888,6.318866818,8.540316424,,221.088183,2.102319924,5.451915937,4.142193355,14.45024065,158.7870267,977.4762411
,Lake,2011,Brackish,StateD,3.477904984,39.30237393,2.925376607,,6.582198747,8.614311075,87.3921047,257.4595668,1.876357226,5.791195261,0.400933784,11.82540479,188.1984645,610.0921953
STN0190,Canal,,Brackish,,7.924840378,20.09879962,1.076769107,,6.371172423,7.240414458,144.4448583,,2.67836079,3.286082764,2.384194389,8.316168491,124.6420746,432.7014834
STN0296,Lake,2020,Freshwater,,15.16476951,39.03623571,2.039252835,6.293104174,6.601074167,7.531165666,114.1734397,180.3381271,1.321359169,4.350175918,3.150465634,10.00579317,148.3254575,
STN0213,Lake,2007,Marine,StateC,,32.78239876,4.041159292,5.823531767,6.705585863,7.035104727,117.1479149,197.0740212,1.049943324,,4.143264531,,161.0194624,886.2862268
STN0208,Canal,,Marine,StateD,3.077918127,37.35836589,1.548438823,6.651075324,,7.586617222,113.2282154,186.2250942,1.898077536,5.612065366,3.9173478,10.10570409,169.0079298,443.9224995
STN0237,,2007,Marine,StateD,16.3166625,29.09479711,3.141240526,8.783757528,6.374552887,8.546283748,69.8992139,182.2368956,1.474957114,3.250574744,1.385346249,6.199529417,79.01066757,354.1411172
STN0338,Lake,2017,Freshwater,StateD,4.488811437,30.31192057,,7.596929298,6.166860202,8.035921055,91.83338641,213.7276264,,3.633377828,4.704400848,8.120640447,10.25269184,303.2569975
STN0367,Lake,,Brackish,,,29.77693161,1.048483099,6.024406371,6.430529338,7.696191186,125.0939798,286.1757771,2.449196574,5.257405013,0.621729207,13.02396031,80.37525425,438.2875187
STN0053,River,2008,Marine,StateB,,33.33728515,1.96480583,9.389150391,6.142594144,7.74347859,,226.058947,1.223186,3.153881547,4.375668093,13.61418046,134.751246,824.0384696
STN0280,River,2003,Marine,StateA,11.8587987,22.7930251,4.90349502,9.397909275,6.890097035,7.002707251,77.78527761,178.1880571,2.216639,4.477606142,4.854701248,6.373000327,90.07007716,577.3010922
STN0410,River,2021,Freshwater,StateB,11.60172416,20.5994718,4.206148448,,6.345877461,7.599601055,77.63191085,161.5457504,1.5620995,4.326321104,0.885767616,14.52386752,149.7926302,381.985283
STN0217,,2016,Marine,StateC,1.829736748,26.15859883,4.838306577,,6.154459747,8.292917483,93.20189276,254.4234218,1.346992101,4.003203537,3.610330321,8.288226178,71.39648589,332.9479997
,Pond,2008,Freshwater,StateC,17.54921725,,2.951416176,7.256196721,6.02544776,8.948388888,148.0368741,207.4198147,1.759503046,4.183716946,0.201427594,11.62313739,126.9488282,466.1835812
STN0188,Lake,,Brackish,StateD,5.312000852,,1.438944795,9.924948281,6.645822386,,56.75025467,273.274642,2.602891552,4.589821761,2.027114126,12.51825146,37.28396097,951.9394983
STN0380,Lake,2020,Freshwater,StateB,2.590298426,33.46864867,3.191837956,8.860062382,6.636902317,,101.8700994,248.9266153,1.784187154,3.484102075,2.581416496,13.11946235,149.8738873,474.4213701
STN0493,Canal,,Freshwater,StateC,17.7749616,39.39824092,2.817509338,5.135837106,6.340604167,8.797121209,67.9364682,269.4362176,2.501539298,4.715987635,2.90322613,14.45749702,109.1391938,990.4992608
STN0041,Lake,,Freshwater,StateB,19.11302996,21.87801432,4.377428331,5.326022956,,8.566396827,147.0676545,190.7919059,1.250972594,5.416296988,4.679686241,8.12919548,40.81287771,588.1843646
STN0157,River,2015,Freshwater,StateC,17.24255235,,1.392330323,7.319656884,6.409628895,8.560752247,61.33035047,253.8538384,2.545542839,5.280482789,3.361253436,13.58506455,58.3822347,343.3311346
STN0015,Pond,2012,,StateA,16.19032149,28.87500439,2.952964548,9.546101029,6.311217495,7.915991518,90.36010024,189.6092977,1.47386665,3.461699714,2.406389756,6.316869034,149.7217417,912.9120734
STN0301,Reservoir,2013,Brackish,StateC,13.10483961,37.36284509,,7.69350899,6.67712064,7.796010586,123.7884985,290.8602719,2.35478626,3.447748409,4.048375181,,,568.2842985
STN0065,Lake,2002,Marine,StateA,11.01714741,23.54299579,2.298703708,7.48906254,,7.605831458,120.4554428,245.4561422,2.13156311,3.804523103,4.752664105,12.4197773,43.20628808,767.7370748
STN0345,River,2005,Brackish,StateC,1.739735198,33.85251904,3.94942831,5.5273685,6.364593728,7.131389718,,198.67677,2.858289434,4.083224179,0.110330743,11.77723241,,986.9692666
STN0327,Reservoir,2017,Brackish,StateD,8.169064261,36.76230579,2.904072517,8.283900524,6.217892554,7.456470727,84.6524168,190.4267793,1.774645036,4.225366744,4.912606361,7.523147361,143.025004,240.1402803
STN0009,Pond,2018,Marine,StateA,7.45377034,38.89228439,2.503553141,9.110515803,6.988035966,7.49320727,89.76123786,178.6389878,1.132330378,5.039091651,0.430660695,13.73043147,191.4269665,277.3556478
,Reservoir,2004,Brackish,,5.195075675,33.66496057,2.577905114,6.902100038,6.454001621,7.968154139,76.42762632,254.1961438,1.038310971,3.170041296,,6.688584634,85.42100907,776.3653932
,River,2014,Freshwater,StateD,,,2.837787074,8.878059255,6.688274236,8.494888813,,182.8073419,2.653717122,3.104018113,1.401673763,5.536347915,95.02006814,425.4600026
STN0492,Reservoir,2024,Freshwater,StateA,9.917514702,32.3569448,4.140066175,9.82238327,6.140552968,7.947619657,98.30396976,,2.049471275,4.175731689,0.660898289,12.17464991,179.5910432,347.4411176
STN0136,Canal,2001,Marine,StateD,1.620924318,37.37809969,,6.018832296,6.4855897,7.115688899,76.85337561,189.695254,2.550488104,5.091491076,2.199278199,9.754757152,105.009868,231.4895039
STN0472,Reservoir,2009,Marine,StateB,4.403664039,31.41219493,4.821338746,7.616648156,6.02753672,,78.74616649,249.2953417,1.4688512,3.580306029,3.219782897,13.4909802,141.4557824,217.4773696
STN0063,,2023,Marine,StateB,13.66517527,20.60774119,4.147613545,6.43568979,,8.885448638,115.6756063,272.2409593,1.690167491,,,8.833971411,,819.5884825
STN0139,Lake,2017,Freshwater,StateA,,38.61897391,,,,8.570379086,146.8537332,266.7037865,1.060207744,3.779484414,0.272827041,6.682785885,89.34529374,307.5467419
STN0499,Canal,,Brackish,StateC,,33.79053502,,7.887966829,,8.982655803,,264.1276996,,5.658258326,2.997305698,13.36442192,,574.1764928
STN0081,,2004,Freshwater,StateA,,33.53026772,,8.172912088,6.038996013,,57.69794671,178.1583609,2.335735813,5.687069833,4.512016381,10.48909632,41.19600718,684.7174521
STN0392,Lake,2022,,StateD,,24.31350305,2.018682488,8.989570798,,8.925536701,57.55836139,,2.866410176,3.891861613,1.91607683,6.891957924,0.188683054,542.6814405
